px,py,pz,r11,r12,r13,r21,r22,r23,r31,r32,r33,vx,vy,vz,wx,wy,wz,pxd,pyd,pzd,t1,t2,t3,t4,t5,t6,a1,a2,a3,a4,a5,a6,time
-4.446134567260742,-76.12859344482422,2.6053426265716553,0.9323601126670837,0.35327351093292236,0.0768272876739502,-0.3565670847892761,0.9336493611335754,0.03404168039560318,-0.059703726321458817,-0.05913318693637848,0.9964631199836731,0.039316799491643906,-0.032814715057611465,0.05767808109521866,-0.07003656029701233,-0.06395256519317627,-0.09757806360721588,-4.0,-76.0,2.0999999046325684,3.7125000953674316,3.7125000953674316,3.8125,3.8125,3.8125,3.8125,-3.1206016540527344,-2.1172454357147217,1.8226739168167114,3.2249913215637207,1.136061668395996,0.34400269389152527,0.004999999888241291
-4.4459662437438965,-76.12879943847656,2.605719566345215,0.9322113990783691,0.35369858145713806,0.07667617499828339,-0.35701075196266174,0.9334631562232971,0.03449452668428421,-0.05937372148036957,-0.059530410915613174,0.9964591860771179,0.04227587208151817,-0.0299215205013752,0.08247057348489761,-0.07557957619428635,-0.05955861508846283,-0.09768513590097427,-4.0,-76.0,2.0999999046325684,3.6750001907348633,3.6750001907348633,3.7750000953674316,3.875,3.7750000953674316,3.7750000953674316,-2.394075393676758,-2.4586808681488037,-0.8915586471557617,0.6756307482719421,-0.8050415515899658,-2.7937839031219482,0.009999999776482582
-4.445769309997559,-76.12899780273438,2.6062169075012207,0.9320595264434814,0.35412266850471497,0.0765647366642952,-0.35745683312416077,0.9332748055458069,0.034967899322509766,-0.05907301977276802,-0.059960752725601196,0.9964512586593628,0.04522053152322769,-0.02702038176357746,0.10685540735721588,-0.08249477297067642,-0.052986908704042435,-0.09789876639842987,-4.0,-76.0,2.0999999046325684,3.637500286102295,3.637500286102295,3.7375001907348633,3.9375,3.7375001907348633,3.7375001907348633,-3.6391520500183105,-3.3403055667877197,-1.4329171180725098,0.06773717701435089,-1.3906667232513428,-3.1790504455566406,0.014999998733401299
-4.445545196533203,-76.12916564941406,2.606832265853882,0.9319038391113281,0.3545449376106262,0.07650569081306458,-0.35790544748306274,0.9330841302871704,0.03546376898884773,-0.05881275236606598,-0.0604306235909462,0.9964382648468018,0.04814935103058815,-0.024111824110150337,0.1308334916830063,-0.09078061580657959,-0.0442364476621151,-0.09821885079145432,-4.0,-76.0,2.0999999046325684,3.6000003814697266,3.6000003814697266,3.700000286102295,4.0,3.700000286102295,3.700000286102295,-3.9683971405029297,-3.505201578140259,-1.642562747001648,-0.2604582607746124,-1.524473786354065,-3.1047935485839844,0.019999997690320015
-4.445292949676514,-76.12934112548828,2.607562780380249,0.9317440986633301,0.35496529936790466,0.07650221139192581,-0.35835668444633484,0.9328910708427429,0.03598237410187721,-0.05859573557972908,-0.06094144657254219,0.9964199066162109,0.05106347054243088,-0.02119467966258526,0.15407894551753998,-0.09906066954135895,-0.03548048064112663,-0.0985388532280922,-4.0,-76.0,2.0999999046325684,3.562500476837158,3.562500476837158,3.6625003814697266,3.9625000953674316,3.6625003814697266,3.6625003814697266,-4.002415657043457,-3.4531142711639404,-1.7280266284942627,-0.5140787363052368,-1.6445633172988892,-3.0048325061798096,0.02499999664723873
-4.445013523101807,-76.12950134277344,2.6084046363830566,0.9315802454948425,0.35538384318351746,0.07655433565378189,-0.358810693025589,0.9326955080032349,0.03652358800172806,-0.058421991765499115,-0.0614931657910347,0.9963962435722351,0.05396287888288498,-0.01826845109462738,0.17659245431423187,-0.10733495652675629,-0.02671898901462555,-0.09885872155427933,-4.0,-76.0,2.0999999046325684,3.52500057220459,3.52500057220459,3.625000476837158,3.9250001907348633,3.625000476837158,3.625000476837158,-4.042061805725098,-3.420304536819458,-1.75225830078125,-0.652798056602478,-1.7318419218063354,-2.963919162750244,0.029999995604157448
-4.444706439971924,-76.12963104248047,2.6093547344207764,0.9314123392105103,0.3558005690574646,0.07666203379631042,-0.3592676520347595,0.9324973225593567,0.037087466567754745,-0.05829140543937683,-0.06208591163158417,0.9963671565055847,0.05684758722782135,-0.015332605689764023,0.19837483763694763,-0.11560344696044922,-0.017951952293515205,-0.09917854517698288,-4.0,-76.0,2.0999999046325684,3.4875006675720215,3.4875006675720215,3.58750057220459,3.887500286102295,3.58750057220459,3.58750057220459,-4.057924270629883,-3.385981321334839,-1.7595983743667603,-0.7470478415489197,-1.8002231121063232,-2.946800708770752,0.034999996423721313
-4.44437313079834,-76.1297607421875,2.6104085445404053,0.9312400817871094,0.3562159538269043,0.07682552188634872,-0.35972803831100464,0.9322962760925293,0.03767441213130951,-0.05820392444729805,-0.06272021681070328,0.9963325262069702,0.059717755764722824,-0.012386558577418327,0.21942685544490814,-0.12386611849069595,-0.009179392829537392,-0.09949816763401031,-4.0,-76.0,2.0999999046325684,3.450000762939453,3.450000762939453,3.5500006675720215,3.8500003814697266,3.5500006675720215,3.5500006675720215,-4.058656692504883,-3.3482251167297363,-1.7612438201904297,-0.8248059749603271,-1.861676573753357,-2.9374184608459473,0.03999999910593033
-4.444012641906738,-76.1298828125,2.611562728881836,0.931063711643219,0.356629341840744,0.07704474031925201,-0.36019137501716614,0.932092547416687,0.03828400745987892,-0.05815963074564934,-0.06339570134878159,0.9962923526763916,0.06257359683513641,-0.009429535828530788,0.23974929749965668,-0.13212285935878754,-0.00040116324089467525,-0.09981764853000641,-4.0,-76.0,2.0999999046325684,3.4125008583068848,3.4125008583068848,3.512500762939453,3.812500476837158,3.512500762939453,3.512500762939453,-4.0513176918029785,-3.3070430755615234,-1.76015043258667,-0.8973537087440491,-1.9220019578933716,-2.930535316467285,0.04500000178813934
-4.443624973297119,-76.1299819946289,2.612813711166382,0.9308829307556152,0.35704144835472107,0.07732020318508148,-0.36065855622291565,0.9318856596946716,0.0389171838760376,-0.05815854296088219,-0.06411353498697281,0.9962464570999146,0.06541543453931808,-0.006460879929363728,0.25934281945228577,-0.14037367701530457,0.008382720872759819,-0.10013691335916519,-4.0,-76.0,2.0999999046325684,3.3750009536743164,3.3750009536743164,3.4750008583068848,3.77500057220459,3.4750008583068848,3.4750008583068848,-4.039139747619629,-3.262138843536377,-1.757076382637024,-0.9690583944320679,-1.9836716651916504,-2.9245214462280273,0.05000000447034836
