Wall time,Step,Value
1755613516.9838989,150,-0.003167531918734312
1755613533.1444988,300,-0.0006179204210639
1755613549.8699665,450,-0.007099245209246874
1755613567.416583,600,-0.0046871015802025795
1755613585.4174745,750,-0.005240080412477255
1755613603.4905295,900,-0.0008711964474059641
1755613621.6468496,1050,0.0002437055518385023
1755613640.181957,1200,-0.0010030982084572315
1755613658.5295434,1350,9.033465175889432e-05
1755613676.8547888,1500,0.0002727018727455288
1755613695.2685447,1650,0.0018255370669066906
1755613713.6904092,1800,0.0032421310897916555
1755613732.0847492,1950,0.0009877283591777086
1755613750.4183874,2100,-0.00026113513740710914
1755613768.703152,2250,0.0013529438292607665
1755613787.1676311,2400,0.0007164469570852816
1755613805.3438861,2550,0.0018889661878347397
1755613823.4746232,2700,-0.0016088561387732625
1755613841.550849,2850,0.0008747933316044509
1755613859.6279814,3000,-0.0014074740465730429
1755613877.700642,3150,1.692458135948982e-05
1755613895.673861,3300,0.0013113494496792555
1755613913.6984015,3450,-0.0012279789661988616
1755613931.7480755,3600,0.0023209024220705032
1755613949.7479875,3750,-0.0013361722230911255
1755613967.7270684,3900,-0.00042192195542156696
1755613985.6570046,4050,0.0005310950800776482
1755614003.65205,4200,-0.0016227455344051123
1755614021.5465093,4350,-0.0013833893463015556
1755614039.4627118,4500,-0.00211025751195848
1755614057.3075469,4650,-0.000610901101026684
1755614075.3043485,4800,-0.0012933037942275405
1755614093.1362166,4950,-0.000189301572390832
1755614110.9388936,5100,-0.0029462703969329596
1755614128.7501333,5250,-0.0013994323089718819
1755614146.7753694,5400,-0.002132683526724577
1755614164.7384279,5550,-0.00232887314632535
1755614182.755792,5700,-0.0027785145211964846
1755614200.7204907,5850,-0.0025650374591350555
1755614218.8772628,6000,-0.001280184485949576
1755614236.9886107,6150,-0.002120488788932562
1755614255.0936303,6300,-0.0037377492990344763
1755614273.2496898,6450,-0.0028344723396003246
1755614291.492674,6600,-0.0017274925485253334
1755614309.5299768,6750,-0.0008753243018873036
1755614327.5347733,6900,-0.0030183792114257812
1755614345.4326348,7050,-0.002105311257764697
1755614363.3780694,7200,-0.0019798220600932837
1755614381.3027058,7350,-0.0008219329174607992
1755614399.2525253,7500,-0.0014118279796093702
1755614417.1320553,7650,-0.001958829816430807
1755614435.0820827,7800,-0.0014789880951866508
1755614452.949634,7950,-0.0012939254520460963
1755614470.79767,8100,-0.0021189290564507246
1755614489.674452,8250,-0.0029107602313160896
1755614509.360135,8400,-0.0021276138722896576
1755614529.0385928,8550,-0.0021778277587145567
1755614548.7336047,8700,-0.0019319683779031038
1755614568.38821,8850,-0.00128708325792104
1755614588.0345156,9000,-0.0025528084952384233
1755614607.5164452,9150,-0.002615966135635972
1755614627.0538306,9300,-0.00220912485383451
1755614646.5216777,9450,-0.002031422918662429
1755614666.147272,9600,-0.0023734515998512506
1755614685.6245403,9750,-0.0020867157727479935
1755614705.1009855,9900,-0.0024601498153060675
1755614724.671811,10050,-0.0015729718143120408
1755614744.3023527,10200,-0.001555585884489119
1755614763.8853755,10350,-0.0035829772241413593
1755614783.4311814,10500,-0.0018460246501490474
1755614803.0021982,10650,-0.002528867684304714
1755614822.7523444,10800,-0.002951933303847909
1755614842.3697326,10950,-0.004260961897671223
1755614861.9391775,11100,-0.0017632595263421535
1755614881.4934008,11250,-0.0019689975306391716
1755614901.0579906,11400,-0.002373147290199995
1755614920.6123812,11550,-0.0008597902487963438
1755614940.1732028,11700,-0.0020962166599929333
1755614959.7872307,11850,-0.0008907938026823103
1755614979.4266367,12000,-0.000884857086930424
1755614999.0411818,12150,-0.0016151746967807412
1755615018.7426648,12300,-0.0010577647481113672
1755615038.407596,12450,-0.0012551211984828115
1755615058.17146,12600,-0.002674350282177329
1755615077.765485,12750,-0.0013799462467432022
1755615097.3191907,12900,-0.0032428710255771875
1755615116.9182575,13050,-0.0034331115894019604
1755615136.523881,13200,-0.0034037996083498
1755615156.0945842,13350,-0.0024026413448154926
1755615175.616706,13500,-0.002296086400747299
1755615195.2038136,13650,-0.003354183165356517
1755615214.8598115,13800,-0.003209879621863365
1755615234.4468603,13950,-0.0029666300397366285
1755615253.9923687,14100,-0.002815662883222103
1755615273.559292,14250,-0.0024666974786669016
1755615293.2986393,14400,-0.0027788025327026844
1755615312.816354,14550,-0.0015893278177827597
1755615332.4739525,14700,-0.0020047377329319715
1755615352.0789845,14850,-0.0020880496595054865
1755615371.770078,15000,-0.000688939995598048
