Timestep,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
129,0.306139,-1.762802,1.314965,-2.571477,-0.432044,1.505435,-2.777468,0.040000,0.039902,-1.089038,0.000022,-0.614996,-1.784909,-0.856664,-0.343438,-1.486788,0.007853,-0.000092,-11.618930,0.002935,17.590069,7.036436,13.383829,6.036976,33.088600,0.248056,0.019167,-9.414636,-48.000000,-4.963617,1.128996,-0.179789,0.430912,0.130573,-0.537272,0.222539,-9.414636,-237.083023,-4.963617,1.128996,-0.179789,0.430912,0.130573,-0.537272,0.222539,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,0.281847,-1.762801,1.309595,-2.604970,-0.447329,1.498604,-2.816378,0.040000,0.039894,-1.336936,0.000013,-0.229710,-1.562659,-0.720733,-0.249510,-1.621393,0.009388,0.000061,-11.684060,0.002066,19.141277,10.967422,12.194419,6.057735,36.143589,0.255978,0.048438,-7.901811,-48.000000,-4.896789,4.897148,-0.200300,0.786648,0.142541,-0.682860,0.253260,-7.901811,-237.297409,-4.896789,4.897148,-0.200300,0.786648,0.142541,-0.682860,0.253260,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
131,0.252710,-1.762801,1.312095,-2.633287,-0.459448,1.494194,-2.857389,0.040000,0.039888,-1.576825,0.000008,0.149672,-1.267143,-0.585409,-0.121547,-1.706129,0.010339,0.000319,-11.113834,0.001239,18.705919,14.719653,10.491758,5.690922,38.085102,0.235627,0.073347,-5.971982,-48.000000,-6.106680,8.291312,-0.319893,1.032875,0.150614,-0.798241,0.268178,-5.971982,-237.176956,-6.106680,8.291312,-0.319893,1.032875,0.150614,-0.798241,0.268178,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
132,0.219058,-1.762800,1.321924,-2.654994,-0.468639,1.492615,-2.897300,0.040000,0.039885,-1.791095,-0.000719,0.487238,-0.908286,-0.463873,0.006382,-0.000000,0.010446,0.000706,-9.614218,-0.072175,16.534372,17.913103,8.296144,2.725962,210.925171,0.182613,0.097751,-3.625294,-48.000000,-8.244631,11.067829,-0.497229,1.152358,0.152668,-0.862021,0.264744,-3.625294,-236.784668,-8.244631,11.067829,-0.497229,1.152358,0.152668,-0.862021,0.264744,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
133,0.182085,-1.762802,1.338195,-2.669639,-0.478799,1.493791,-2.897300,0.040000,0.039862,-1.916968,0.000004,0.773977,-0.570175,-0.587174,0.183052,-0.000002,0.002421,-0.000054,-5.305314,0.001991,13.175458,16.913134,3.529334,4.635514,-0.000022,0.009072,0.073023,0.182422,-48.000000,-10.758137,11.264109,-1.006420,1.013117,-9.483959,-0.233042,0.342009,0.182422,-236.838089,-10.758137,11.264109,-1.006420,1.013117,-9.483959,-0.233042,0.342009,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
134,0.142928,-1.762803,1.358983,-2.676985,-0.487273,1.497749,-2.897300,0.040000,0.039858,-2.012459,0.000020,0.943991,-0.191526,-0.420531,0.309016,-0.000001,0.002428,0.000443,-3.659427,-0.000416,7.730544,18.787016,8.861944,1.842901,-0.000078,-0.004609,0.037398,2.222276,-48.000000,-13.672127,12.626516,-0.767736,0.850163,-11.226807,-0.247430,0.277401,2.222276,-235.795868,-13.672127,12.626516,-0.767736,0.850163,-11.226807,-0.247430,0.277401,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
135,0.102586,-1.762803,1.382156,-2.676815,-0.493116,1.504478,-2.897300,0.040000,0.039861,-2.041068,0.000028,1.020204,0.172367,-0.313909,0.454266,-0.000001,0.002259,0.000858,-0.356984,-0.001039,3.181177,18.044895,5.790895,0.599080,-0.000054,-0.009083,0.043942,4.975451,-48.000000,-16.283823,12.577456,-1.001567,0.659931,-12.000000,-0.234985,0.244940,4.975451,-234.518646,-16.283823,12.577456,-1.001567,0.659931,-12.635287,-0.234985,0.244940,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
136,0.062417,-1.762804,1.405943,-2.669671,-0.497075,1.513874,-2.897300,0.040000,0.039871,-2.000403,0.000036,1.017766,0.499131,-0.227092,0.581449,-0.000000,0.002000,0.001200,3.014898,-0.001594,-0.497901,16.111671,4.139973,-1.337808,-0.000023,-0.013321,0.036457,7.515597,-48.000000,-18.474361,11.764111,-1.140738,0.380063,-12.000000,-0.213326,0.189493,7.515597,-233.050674,-18.474361,11.764111,-1.140738,0.380063,-13.326645,-0.213326,0.189493,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
137,0.023738,-1.762804,1.428990,-2.656491,-0.499336,1.525120,-2.897300,0.040000,0.039887,-1.896419,0.000042,0.959278,0.771681,-0.142889,0.658184,0.000000,0.001666,0.001333,6.063759,-0.001874,-3.042001,13.244141,3.110774,-3.387642,0.000134,-0.017327,0.019751,9.633419,-48.000000,-20.240904,10.324283,-1.228885,0.038862,-12.000000,-0.183887,0.131251,9.633419,-231.494415,-20.240904,10.324283,-1.228885,0.038862,-13.338962,-0.183887,0.131251,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
138,-0.012311,-1.762804,1.450401,-2.638505,-0.499812,1.537110,-2.897300,0.040000,0.039904,-1.739943,0.000045,0.866102,0.978222,-0.053292,0.677909,0.000000,0.001285,0.001243,8.553850,-0.002001,-4.547048,9.786510,2.274623,-4.947257,0.000044,-0.020403,0.001184,11.237604,-48.000000,-21.670317,8.450143,-1.294024,-0.321503,-12.000000,-0.148942,0.086444,11.237604,-230.007309,-21.670317,8.450143,-1.294024,-0.321503,-12.761345,-0.148942,0.086444,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
