Timestep,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
153,-0.072202,-1.762806,1.578831,-2.442231,-0.433304,1.520832,-2.780280,0.040000,0.039933,0.730571,0.000038,-0.068522,-0.100459,-0.058072,-0.183666,0.370164,0.000520,0.000008,0.206608,0.000888,-1.946190,-1.972383,-0.259671,3.907490,-8.517877,-0.009132,-0.001285,-0.207822,-48.000000,-24.070292,-4.746983,-1.641587,-1.178443,-0.003189,-0.061112,0.127192,-0.207822,-233.724182,-24.070292,-4.746983,-1.641587,-1.178443,-0.003189,-0.061112,0.127192,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
154,-0.057579,-1.762806,1.579973,-2.443957,-0.433940,1.515525,-2.774854,0.040000,0.039929,0.716583,0.000039,-0.100947,-0.120707,-0.077650,-0.151842,0.211295,0.000336,-0.000023,-0.945318,0.000772,-1.806419,-0.984310,0.064845,3.586538,-4.945056,-0.010907,-0.001141,-1.247310,-48.000000,-23.769506,-4.557442,-1.612172,-1.101569,0.009436,-0.044554,0.139181,-1.247310,-234.589813,-23.769506,-4.557442,-1.612172,-1.101569,0.009436,-0.044554,0.139181,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
155,-0.043424,-1.762806,1.580485,-2.445951,-0.434890,1.510991,-2.772973,0.040000,0.039924,0.684179,0.000039,-0.131081,-0.126683,-0.091177,-0.115595,0.065361,0.000199,-0.000003,-1.851189,0.000636,-1.641212,-0.241654,0.295369,3.165076,-1.661498,-0.010232,0.000288,-2.081561,-48.000000,-23.489697,-4.418916,-1.586947,-1.042897,0.020701,-0.030169,0.148277,-2.081561,-235.429031,-23.489697,-4.418916,-1.586947,-1.042897,0.020701,-0.030169,0.148277,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
156,-0.030055,-1.762806,1.580420,-2.447978,-0.436044,1.507281,-2.774108,0.040000,0.039920,0.638367,0.000040,-0.158497,-0.123398,-0.099915,-0.077633,-0.058372,0.000107,0.000049,-2.503628,0.000512,-1.458248,0.245617,0.449676,2.676636,1.123966,-0.008362,0.002022,-2.709981,-48.000000,-23.239126,-4.343004,-1.566522,-1.003682,0.029956,-0.019038,0.153531,-2.709981,-236.212112,-23.239126,-4.343004,-1.566522,-1.003682,0.029956,-0.019038,0.153531,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
157,-0.017690,-1.762806,1.579837,-2.449900,-0.437321,1.504388,-2.777608,0.040000,0.039917,0.583894,0.000040,-0.182830,-0.115481,-0.105250,-0.040630,-0.155146,0.000050,0.000113,-2.917343,0.000406,-1.263936,0.496656,0.540186,2.151084,3.301932,-0.006200,0.003396,-3.146543,-48.000000,-23.020285,-4.329094,-1.550899,-0.982974,0.036835,-0.011162,0.155192,-3.146543,-236.920334,-23.020285,-4.329094,-1.550899,-0.982974,0.036835,-0.011162,0.155192,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
158,-0.006461,-1.762806,1.578802,-2.451668,-0.438666,1.502252,-2.782800,0.040000,0.039916,0.524890,0.000040,-0.203803,-0.106774,-0.108291,-0.006906,-0.224081,0.000017,0.000175,-3.124130,0.000307,-1.064205,0.550435,0.588093,1.625158,4.855120,-0.004274,0.004200,-3.416240,-48.000000,-22.830681,-4.366637,-1.539177,-0.977772,0.041470,-0.006014,0.154266,-3.416240,-237.544373,-22.830681,-4.366637,-1.539177,-0.977772,0.041470,-0.006014,0.154266,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
159,0.003576,-1.762806,1.577387,-2.453292,-0.440048,1.500772,-2.789058,0.040000,0.039915,0.464657,0.000041,-0.221193,-0.100102,-0.109925,0.021807,-0.267318,0.000001,0.000225,-3.166053,0.000246,-0.862889,0.457095,0.611879,1.135553,5.828011,-0.002773,0.004349,-3.550261,-48.000000,-22.663927,-4.438754,-1.530207,-0.983768,0.043963,-0.002871,0.151740,-3.550261,-238.083221,-22.663927,-4.438754,-1.530207,-0.983768,0.043963,-0.002871,0.151740,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160,0.012422,-1.762806,1.575665,-2.454831,-0.441447,1.499819,-2.795854,0.040000,0.039915,0.405587,0.000041,-0.234832,-0.097211,-0.110778,0.044428,-0.288878,-0.000006,0.000260,-3.089046,0.000206,-0.662269,0.270873,0.623256,0.707232,6.312826,-0.001706,0.004093,-3.580968,-48.000000,-22.512484,-4.525555,-1.522838,-0.996409,0.044768,-0.001100,0.148599,-3.580968,-238.542206,-22.512484,-4.525555,-1.522838,-0.996409,0.044768,-0.001100,0.148599,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
161,0.020116,-1.762806,1.573714,-2.456368,-0.442856,1.499252,-2.802783,0.040000,0.039916,0.349200,0.000041,-0.244604,-0.098837,-0.111302,0.060614,-0.293822,-0.000008,0.000281,-2.936894,0.000174,-0.464380,0.042429,0.632112,0.362293,6.424779,-0.000966,0.003600,-3.538437,-48.000000,-22.369015,-4.607207,-1.516115,-1.011142,0.044379,-0.000187,0.145420,-3.538437,-238.931091,-22.369015,-4.607207,-1.516115,-1.011142,0.044379,-0.000187,0.145420,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
162,0.026719,-1.762806,1.571613,-2.457989,-0.444274,1.498936,-2.809565,0.040000,0.039916,0.296248,0.000041,-0.250456,-0.104839,-0.111752,0.070623,-0.287350,-0.000007,0.000291,-2.747765,0.000196,-0.270772,-0.183580,0.644586,0.109340,6.280628,-0.000474,0.003058,-3.447864,-48.000000,-22.227554,-4.665598,-1.509317,-1.024226,0.043222,0.000190,0.142571,-3.447864,-239.261353,-22.227554,-4.665598,-1.509317,-1.024226,0.043222,0.000190,0.142571,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
163,0.032302,-1.762805,1.569439,-2.459776,-0.445703,1.498747,-2.816032,0.040000,0.039917,0.246910,0.000041,-0.252402,-0.114444,-0.112351,0.075404,-0.274207,-0.000004,0.000295,-2.550819,0.000196,-0.083050,-0.373571,0.659456,-0.050825,5.983088,-0.000120,0.002585,-3.328119,-48.000000,-22.084536,-4.687057,-1.502174,-1.032677,0.041520,0.000257,0.140194,-3.328119,-239.544037,-22.084536,-4.687057,-1.502174,-1.032677,0.041520,0.000257,0.140194,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
164,0.036936,-1.762806,1.567272,-2.461785,-0.447148,1.498595,-2.822115,0.040000,0.039918,0.200943,0.000041,-0.250541,-0.126440,-0.113173,0.076311,-0.258162,0.000000,0.000293,-2.366906,0.000215,0.096026,-0.504327,0.682750,-0.124519,5.625239,0.000146,0.002240,-3.192762,-48.000000,-21.938730,-4.662480,-1.494469,-1.034710,0.039890,0.000125,0.138358,-3.192762,-239.788025,-21.938730,-4.662480,-1.494469,-1.034710,0.039890,0.000125,0.138358,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
165,0.040683,-1.762805,1.565185,-2.464050,-0.448613,1.498415,-2.827807,0.040000,0.039919,0.157870,0.000041,-0.245061,-0.139382,-0.114250,0.074710,-0.242021,0.000005,0.000289,-2.207702,0.000256,0.264354,-0.562872,0.706705,-0.134459,5.261938,0.000386,0.002027,-3.049196,-48.000000,-21.791605,-4.588088,-1.486377,-1.029899,0.038216,-0.000130,0.137044,-3.049196,-240.000305,-21.791605,-4.588088,-1.486377,-1.029899,0.038216,-0.000130,0.137044,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
166,0.043594,-1.762806,1.563249,-2.466574,-0.450101,1.498175,-2.833148,0.040000,0.039919,0.117125,0.000041,-0.236265,-0.151776,-0.115362,0.071983,-0.227581,0.000011,0.000284,-2.077209,0.000273,0.416788,-0.546648,0.741878,-0.092801,4.938157,0.000613,0.001909,-2.900534,-48.000000,-21.646902,-4.464124,-1.477872,-1.018533,0.036798,-0.000493,0.136212,-2.900534,-240.185059,-21.646902,-4.464124,-1.477872,-1.018533,0.036798,-0.000493,0.136212,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
167,0.045711,-1.762805,1.561527,-2.469334,-0.451608,1.497869,-2.838204,0.040000,0.039919,0.078188,0.000041,-0.224529,-0.162246,-0.116428,0.069226,-0.215907,0.000018,0.000279,-1.973137,0.000300,0.551566,-0.460571,0.772295,-0.027072,4.675151,0.000850,0.001899,-2.746288,-48.000000,-21.509127,-4.295680,-1.469545,-1.001786,0.035601,-0.000957,0.135837,-2.746288,-240.345459,-21.509127,-4.295680,-1.469545,-1.001786,0.035601,-0.000957,0.135837,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
168,0.047065,-1.762805,1.560071,-2.472275,-0.453127,1.497510,-2.843046,0.040000,0.039920,0.040659,0.000041,-0.210353,-0.169630,-0.117077,0.067362,-0.207116,0.000026,0.000274,-1.889076,0.000312,0.662737,-0.315976,0.809890,0.054285,4.478538,0.001087,0.001967,-2.584091,-48.000000,-21.384274,-4.089827,-1.461504,-0.981123,0.034724,-0.001539,0.135879,-2.584091,-240.482147,-21.384274,-4.089827,-1.461504,-0.981123,0.034724,-0.001539,0.135879,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
169,0.047682,-1.762805,1.558927,-2.475328,-0.454645,1.497126,-2.847737,0.040000,0.039920,0.004337,0.000041,-0.194285,-0.173086,-0.117177,0.066956,-0.200853,0.000036,0.000269,-1.815232,0.000303,0.749089,-0.128345,0.837260,0.128363,4.340602,0.001334,0.002088,-2.409918,-48.000000,-21.277512,-3.856992,-1.454513,-0.958501,0.034140,-0.002218,0.136232,-2.409918,-240.595306,-21.277512,-3.856992,-1.454513,-0.958501,0.034140,-0.002218,0.136232,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
170,0.047585,-1.762805,1.558124,-2.478410,-0.456146,1.496755,-2.852317,0.040000,0.039920,-0.030767,0.000040,-0.176942,-0.172124,-0.116466,0.068325,-0.196353,0.000045,0.000266,-1.741021,0.000288,0.806895,0.084355,0.860878,0.189465,4.239361,0.001513,0.002252,-2.219975,-48.000000,-21.193810,-3.608093,-1.448739,-0.935763,0.033583,-0.003015,0.136837,-2.219975,-240.683929,-21.193810,-3.608093,-1.448739,-0.935763,0.033583,-0.003015,0.136837,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
171,0.046801,-1.762805,1.557683,-2.481428,-0.457610,1.496435,-2.856809,0.040000,0.039919,-0.064437,0.000040,-0.158938,-0.166612,-0.114891,0.071435,-0.192639,0.000055,0.000265,-1.656313,0.000277,0.836685,0.304297,0.868464,0.223722,4.159312,0.001665,0.002388,-2.011261,-48.000000,-21.136295,-3.354928,-1.444697,-0.914799,0.033226,-0.003823,0.137515,-2.011261,-240.747681,-21.136295,-3.354928,-1.444697,-0.914799,0.033226,-0.003823,0.137515,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
172,0.045362,-1.762805,1.557609,-2.484294,-0.459015,1.496201,-2.861206,0.040000,0.039919,-0.096278,0.000040,-0.140912,-0.156759,-0.112288,0.076172,-0.188638,0.000063,0.000264,-1.552341,0.000250,0.836489,0.513333,0.870405,0.240311,4.072475,0.001710,0.002541,-1.782258,-48.000000,-21.107279,-3.108323,-1.442420,-0.896834,0.032821,-0.004617,0.138278,-1.782258,-240.785553,-21.107279,-3.108323,-1.442420,-0.896834,0.032821,-0.004617,0.138278,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
173,0.043309,-1.762805,1.557896,-2.486924,-0.460341,1.496083,-2.865474,0.040000,0.039919,-0.125779,0.000040,-0.123434,-0.143050,-0.108759,0.082077,-0.183338,0.000069,0.000265,-1.423610,0.000222,0.809936,0.698282,0.852968,0.226271,3.953384,0.001631,0.002597,-1.533283,-48.000000,-21.106731,-2.878203,-1.442241,-0.883338,0.032190,-0.005313,0.138926,-1.533283,-240.797806,-21.106731,-2.878203,-1.442241,-0.883338,0.032190,-0.005313,0.138926,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
174,0.040695,-1.762805,1.558526,-2.489246,-0.461568,1.496098,-2.869565,0.040000,0.039918,-0.152358,0.000040,-0.107038,-0.126203,-0.104289,0.088728,-0.175889,0.000073,0.000267,-1.266934,0.000186,0.758152,0.846885,0.825483,0.194178,3.787313,0.001456,0.002567,-1.266535,-48.000000,-21.133854,-2.672487,-1.443930,-0.874783,0.031436,-0.005814,0.139463,-1.266535,-240.784424,-21.133854,-2.672487,-1.443930,-0.874783,0.031436,-0.005814,0.139463,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
175,0.037583,-1.762805,1.559474,-2.491205,-0.462678,1.496255,-2.873413,0.040000,0.039918,-0.175432,0.000039,-0.092158,-0.107088,-0.099040,0.095585,-0.165678,0.000072,0.000269,-1.082635,0.000141,0.686011,0.951907,0.781263,0.142589,3.560997,0.001184,0.002473,-0.986055,-48.000000,-21.185902,-2.497478,-1.447521,-0.871631,0.030540,-0.006061,0.139879,-0.986055,-240.747299,-21.185902,-2.497478,-1.447521,-0.871631,0.030540,-0.006061,0.139879,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
176,0.034049,-1.762805,1.560704,-2.492766,-0.463659,1.496550,-2.876943,0.040000,0.039918,-0.194482,0.000039,-0.079137,-0.086644,-0.093116,0.102143,-0.152426,0.000069,0.000270,-0.874002,0.000099,0.597242,1.009457,0.728618,0.082374,3.265953,0.000837,0.002261,-0.697612,-48.000000,-21.259235,-2.356767,-1.452648,-0.873733,0.029398,-0.006020,0.140128,-0.697612,-240.688354,-21.259235,-2.356767,-1.452648,-0.873733,0.029398,-0.006020,0.140128,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
177,0.030176,-1.762805,1.562176,-2.493911,-0.464499,1.496970,-2.880081,0.040000,0.039917,-0.209105,0.000039,-0.068210,-0.065801,-0.086717,0.107904,-0.136140,0.000062,0.000271,-0.647114,0.000071,0.497384,1.020545,0.662778,0.015127,2.900371,0.000472,0.002003,-0.407935,-48.000000,-21.349636,-2.251744,-1.459158,-0.880716,0.027946,-0.005686,0.140281,-0.407935,-240.610580,-21.349636,-2.251744,-1.459158,-0.880716,0.027946,-0.005686,0.140281,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
178,0.026057,-1.762805,1.563844,-2.494637,-0.465192,1.497493,-2.882762,0.040000,0.039917,-0.219038,0.000039,-0.059504,-0.045444,-0.079995,0.112524,-0.117168,0.000052,0.000271,-0.408959,0.000037,0.390946,0.987253,0.592137,-0.047614,2.476598,0.000129,0.001622,-0.124276,-48.000000,-21.452202,-2.182319,-1.466624,-0.891836,0.026391,-0.005099,0.140263,-0.124276,-240.517700,-21.452202,-2.182319,-1.466624,-0.891836,0.026391,-0.005099,0.140263,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
179,0.021786,-1.762805,1.565665,-2.494964,-0.465735,1.498089,-2.884932,0.040000,0.039917,-0.224185,0.000039,-0.053050,-0.026334,-0.073126,0.115720,-0.095983,0.000042,0.000270,-0.168170,0.000014,0.282921,0.916279,0.514399,-0.104204,1.999534,-0.000163,0.001249,0.146282,-48.000000,-21.562305,-2.146106,-1.474787,-0.906264,0.024555,-0.004328,0.140219,0.146282,-240.413696,-21.562305,-2.146106,-1.474787,-0.906264,0.024555,-0.004328,0.140219,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,0.017457,-1.762805,1.567591,-2.494923,-0.466129,1.498727,-2.886555,0.040000,0.039917,-0.224628,0.000039,-0.048782,-0.009091,-0.066347,0.117380,-0.073317,0.000031,0.000269,0.066701,-0.000013,0.177675,0.815113,0.432403,-0.148741,1.492751,-0.000367,0.000865,0.396951,-48.000000,-21.675091,-2.139644,-1.483367,-0.922970,0.022778,-0.003446,0.140119,0.396951,-240.303162,-21.675091,-2.139644,-1.483367,-0.922970,0.022778,-0.003446,0.140119,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
181,0.013163,-1.762805,1.569581,-2.494554,-0.466380,1.499375,-2.887612,0.040000,0.039917,-0.220614,0.000039,-0.046570,0.005846,-0.059803,0.117460,-0.049939,0.000021,0.000267,0.287405,-0.000016,0.078305,0.692601,0.350372,-0.178218,0.967281,-0.000477,0.000487,0.621875,-48.000000,-21.786627,-2.158557,-1.491967,-0.940980,0.020878,-0.002550,0.139981,0.621875,-240.190094,-21.786627,-2.158557,-1.491967,-0.940980,0.020878,-0.002550,0.139981,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
182,0.008987,-1.762805,1.571594,-2.493907,-0.466497,1.500001,-2.888106,0.040000,0.039917,-0.212529,0.000039,-0.046236,0.018198,-0.053666,0.116105,-0.026657,0.000012,0.000265,0.487220,-0.000020,-0.012693,0.557417,0.268842,-0.190358,0.445167,-0.000499,0.000138,0.816793,-48.000000,-21.893497,-2.198015,-1.500426,-0.959297,0.019072,-0.001721,0.139814,0.816793,-240.078552,-21.893497,-2.198015,-1.500426,-0.959297,0.019072,-0.001721,0.139814,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
183,0.005008,-1.762805,1.573594,-2.493034,-0.466490,1.500577,-2.888057,0.040000,0.039917,-0.200879,0.000039,-0.047557,0.027860,-0.048080,0.113486,-0.004264,0.000006,0.000262,0.660254,-0.000040,-0.093329,0.418469,0.190469,-0.187401,-0.057758,-0.000440,-0.000137,0.978330,-48.000000,-21.992687,-2.253078,-1.508475,-0.977195,0.017341,-0.001019,0.139662,0.978330,-239.972046,-21.992687,-2.253078,-1.508475,-0.977195,0.017341,-0.001019,0.139662,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
184,0.001289,-1.762805,1.575551,-2.491990,-0.466375,1.501081,-2.887503,0.040000,0.039917,-0.186255,0.000039,-0.050300,0.034877,-0.043171,0.109861,0.016515,0.000002,0.000259,0.802734,-0.000028,-0.162761,0.283161,0.116594,-0.168867,-0.525656,-0.000329,-0.000325,1.104941,-48.000000,-22.082216,-2.318983,-1.515975,-0.993895,0.015721,-0.000488,0.139555,1.104941,-239.873535,-22.082216,-2.318983,-1.515975,-0.993895,0.015721,-0.000488,0.139555,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
185,-0.002116,-1.762805,1.577438,-2.490826,-0.466168,1.501497,-2.886498,0.040000,0.039917,-0.169299,0.000039,-0.054228,0.039421,-0.039004,0.105524,0.035108,-0.000000,0.000256,0.912203,-0.000035,-0.220831,0.158120,0.049548,-0.139205,-0.942460,-0.000181,-0.000519,1.196218,-48.000000,-22.160780,-2.391427,-1.522738,-1.008987,0.014380,-0.000144,0.139399,1.196218,-239.785339,-22.160780,-2.391427,-1.522738,-1.008987,0.014380,-0.000144,0.139399,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
186,-0.005166,-1.762805,1.579233,-2.489589,-0.465884,1.501814,-2.885103,0.040000,0.039917,-0.150667,0.000039,-0.059117,0.041751,-0.035618,0.100792,0.051084,-0.000000,0.000254,0.988312,-0.000024,-0.267930,0.047597,-0.009973,-0.099261,-1.302222,-0.000011,-0.000617,1.253230,-48.000000,-22.227766,-2.466889,-1.528707,-1.022029,0.013199,0.000031,0.139310,1.253230,-239.708984,-22.227766,-2.466889,-1.528707,-1.022029,0.013199,0.000031,0.139310,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
187,-0.007836,-1.762805,1.580919,-2.488320,-0.465542,1.502030,-2.883389,0.040000,0.039917,-0.131000,0.000039,-0.064757,0.042186,-0.033019,0.095954,0.064128,0.000001,0.000251,1.032092,-0.000037,-0.304585,-0.045615,-0.061297,-0.053754,-1.596112,0.000139,-0.000678,1.278050,-48.000000,-22.283062,-2.542701,-1.533830,-1.032937,0.012266,0.000037,0.139237,1.278050,-239.645264,-22.283062,-2.542701,-1.533830,-1.032937,0.012266,0.000037,0.139237,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
188,-0.010109,-1.762805,1.582484,-2.487055,-0.465158,1.502147,-2.881432,0.040000,0.039918,-0.110897,0.000039,-0.070957,0.041073,-0.031164,0.091272,0.074123,0.000003,0.000248,1.045720,-0.000015,-0.331713,-0.120000,-0.103709,-0.006462,-1.821519,0.000268,-0.000709,1.273635,-48.000000,-22.327021,-2.616676,-1.538066,-1.041703,0.011582,-0.000075,0.139188,1.273635,-239.594696,-22.327021,-2.616676,-1.538066,-1.041703,0.011582,-0.000075,0.139188,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
189,-0.011984,-1.762805,1.583918,-2.485820,-0.464746,1.502170,-2.879304,0.040000,0.039918,-0.090900,0.000039,-0.077546,0.038759,-0.030024,0.086951,0.081043,0.000006,0.000246,1.032476,-0.000018,-0.350110,-0.175962,-0.137975,0.039871,-1.978158,0.000372,-0.000720,1.243476,-48.000000,-22.360231,-2.687596,-1.541481,-1.048426,0.011131,-0.000276,0.139171,1.243476,-239.557159,-22.360231,-2.687596,-1.541481,-1.048426,0.011131,-0.000276,0.139171,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
190,-0.013466,-1.762805,1.585213,-2.484637,-0.464322,1.502113,-2.877076,0.040000,0.039918,-0.071475,0.000039,-0.084388,0.035577,-0.029472,0.083131,0.085066,0.000010,0.000244,0.996120,-0.000007,-0.361395,-0.214408,-0.162849,0.081532,-2.068699,0.000432,-0.000702,1.191593,-48.000000,-22.384012,-2.754508,-1.544054,-1.053389,0.010948,-0.000534,0.139200,1.191593,-239.531891,-22.384012,-2.754508,-1.544054,-1.053389,0.010948,-0.000534,0.139200,48.000000,48.000000,48.000000,48.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
