Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,0.135128,2.289939,-2.690304,0.117296,0.817557,1.020894,1.616760,0.066487,-0.485581,-0.070167,-2.656656,0.084785,2.015062,0.501966,0.032300,0.033334,1.914932,2.167366,-2.176148,-0.236911,2.590892,2.609614,2.527290,-0.199658,-0.190447,-10.941331,41.186325,-0.118933,-5.733382,7.111716,10.005154,-4.881992,0.588347,1.184943,-5.632072,81.661423,-87.000000,-7.373215,12.000000,12.000000,12.000000,-50.328781,-52.013275,-5.632072,81.661423,-96.198372,-7.373215,19.470257,116.299065,76.817535,-50.328781,-52.013275,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.232976,2.439754,-3.104016,-0.214400,1.249224,0.906458,2.285955,0.123234,-0.413695,-0.142435,-2.690733,0.168922,2.102055,0.587479,0.025906,0.027052,1.452865,2.159009,-2.111465,-1.428236,2.571587,2.609843,2.464556,-0.188985,-0.188489,-13.059839,0.298676,-0.392189,-33.314510,0.829940,0.005865,2.112121,0.271127,-0.067601,-5.091924,79.428123,-87.000000,-16.378725,12.000000,12.000000,12.000000,-38.780796,-41.667976,-5.091924,79.428123,-107.236572,-16.378725,29.593975,104.094543,97.435173,-38.780796,-41.667976,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.436055,2.449934,-3.456329,0.100904,1.423955,0.760492,2.776129,0.171999,-0.340961,-0.215002,-2.749282,0.254248,2.184212,0.674449,0.019855,0.020726,1.377410,2.183808,-2.144047,-1.759710,2.506519,2.096381,2.609436,-0.178727,-0.190045,-6.517968,0.242457,1.705971,-7.971904,-1.807752,-17.493080,-0.024176,0.265615,-0.097003,-0.349761,73.946869,-87.000000,3.225443,12.000000,12.000000,12.000000,-27.371778,-28.961702,-0.349761,73.946869,-115.264130,3.225443,29.891407,92.293350,109.407448,-27.371778,-28.961702,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.620079,2.476774,-3.653301,0.376412,1.502506,0.723598,3.040133,0.222101,-0.267545,-0.287942,-2.806633,0.340284,2.248294,0.761483,0.014040,0.014210,1.528876,2.202260,-2.189567,-1.357030,2.350467,0.928751,2.609670,-0.172573,-0.198076,2.601299,0.034676,-0.113626,9.947533,1.790542,-9.735925,-0.021472,0.159466,-0.355054,3.152207,69.084709,-87.000000,18.681240,12.000000,12.000000,12.000000,-16.327606,-15.817635,3.152207,69.084709,-117.266014,18.681240,27.072483,90.186829,113.007980,-16.327606,-15.817635,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.688815,2.449964,-3.714094,0.429852,1.549351,0.711908,3.136925,0.276956,-0.194010,-0.361146,-2.850749,0.429127,2.307270,0.848532,0.008515,0.007860,1.608291,2.202763,-2.177934,-0.883680,2.607030,0.698361,2.612081,-0.135032,-0.158893,0.633867,-0.181432,0.870709,13.949725,11.347245,-1.713906,0.135040,2.259569,2.380685,1.235717,62.116840,-87.000000,23.312567,12.000000,12.000000,12.000000,-5.038704,-1.933428,1.235717,62.116840,-113.832497,23.312567,21.554020,86.283585,109.917084,-5.038704,-1.933428,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.803771,2.371429,-3.804717,0.437219,1.588467,0.663674,3.291702,0.335702,-0.120467,-0.434698,-2.878162,0.519202,2.366364,0.935579,0.005067,0.004094,1.699685,2.202318,-2.181702,-0.373509,2.607032,0.743333,2.612285,-0.073312,-0.081771,0.760524,-0.133080,-0.044775,15.560312,-0.016522,-0.696552,-0.011144,1.476878,1.972800,0.929852,53.096497,-87.000000,24.552151,12.000000,12.000000,12.000000,-3.305179,0.143908,0.929852,53.096497,-111.632317,24.552151,15.179498,79.537697,109.133614,-3.305179,0.143908,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.919819,2.207751,-4.036072,0.532691,1.670615,0.541352,3.496552,0.398108,-0.046867,-0.508472,-2.886460,0.610113,2.431611,1.022638,0.003078,0.002223,1.793661,2.204673,-2.189958,0.229878,2.606764,1.039954,2.612537,-0.043053,-0.039350,0.991931,-0.154839,-0.124025,17.438267,-0.016251,9.605068,-0.018754,0.693930,1.121821,0.359832,40.652309,-87.000000,27.541393,11.225496,12.000000,12.000000,-2.447696,-0.158568,0.359832,40.652309,-114.961548,27.541393,11.225496,69.242630,110.361816,-2.447696,-0.158568,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1.057748,2.016733,-4.129409,0.418429,1.803013,0.361695,3.761886,0.462638,0.026462,-0.581524,-2.878585,0.700336,2.504366,1.109672,0.001783,0.001435,1.882691,2.199173,-2.192588,0.569289,2.607522,1.518880,2.611787,-0.029314,-0.014452,-0.077734,-0.030441,0.040011,10.746199,-0.021229,3.031976,-0.021400,0.314423,0.658250,0.350782,27.166084,-87.000000,21.107618,9.259713,12.000000,12.000000,-1.293858,-0.911580,0.350782,27.166084,-112.792290,21.107618,9.259713,54.128422,114.014145,-1.293858,-0.911580,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1.186706,1.814362,-4.075732,0.378213,1.857982,0.055229,3.820075,0.527873,0.099679,-0.653259,-2.861050,0.790302,2.585616,1.196690,0.000904,0.001183,1.943059,2.198534,-2.188093,0.755073,2.607867,2.114045,2.610939,-0.020688,-0.002432,-0.780995,0.177913,0.382562,5.624799,-0.020728,11.371449,-0.037694,0.163188,0.353194,0.016793,13.228691,-87.000000,17.344931,4.255906,12.000000,12.000000,-0.284481,-1.679292,0.016793,13.228691,-104.844070,17.344931,4.255906,33.932968,109.382004,-0.284481,-1.679292,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1.364466,1.642678,-3.956748,0.340526,1.905287,-0.248868,3.876214,0.593344,0.172748,-0.724195,-2.838553,0.870846,2.672653,1.283694,0.000255,0.001207,1.942786,2.192534,-2.159778,0.804801,1.846819,2.609889,2.610940,-0.015799,0.003583,-4.511997,0.262327,0.532193,2.422875,-42.022045,0.012360,-0.017467,0.077930,0.184560,1.643736,0.542140,-87.000000,13.780663,-0.771952,12.000000,12.000000,0.577216,-2.381395,1.643736,0.542140,-94.499954,13.780663,-0.771952,12.236973,104.667961,0.577216,-2.381395,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1.549759,1.469993,-3.884728,0.288139,1.944858,-0.542809,3.998055,0.657639,0.243289,-0.796555,-2.813480,0.921706,2.714442,1.370682,0.000000,0.001120,1.935419,1.987234,-2.179048,0.778355,1.188996,0.907390,2.610488,-0.005821,-0.004723,-2.475571,-3.299854,1.537342,-2.735731,-26.464632,-26.168192,-0.002632,0.411167,-0.365920,4.006636,-11.545738,-85.711159,9.508613,-0.701133,-0.071218,12.000000,1.267329,-2.572797,4.006636,-11.545738,-85.711159,9.508613,-0.701133,-0.071218,102.585236,1.267329,-2.572797,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,1.716471,1.433669,-3.854152,0.409146,1.934144,-0.748527,4.100903,0.720664,0.311994,-0.868806,-2.785484,0.946038,2.685560,1.457675,0.000000,0.000820,1.944865,1.858257,-2.144646,0.843551,0.622317,-0.791952,2.610765,-0.000127,-0.010798,1.668784,-3.327169,2.278118,-3.333299,-12.090214,6.945941,0.008755,0.291389,-0.277436,5.834369,-18.056059,-78.751625,11.933361,-0.745967,0.401845,12.000000,0.498314,-1.414483,5.834369,-18.056059,-78.751625,11.933361,-0.745967,0.401845,99.739975,0.498314,-1.414483,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,1.820669,1.393273,-3.801659,0.633582,1.964806,-0.857828,4.194128,0.784769,0.378299,-0.938977,-2.753508,0.965658,2.635784,1.544685,0.000025,0.000532,1.981091,1.694557,-2.115650,1.011479,0.508384,-1.063965,2.611347,0.002844,-0.007987,0.261869,-7.455303,0.991702,0.867051,-12.334255,22.818336,0.010858,0.107029,0.037364,4.699474,-24.735802,-71.195229,18.154030,-0.798009,1.654941,12.000000,-0.106003,-0.486862,4.699474,-24.735802,-71.195229,18.154030,-0.798009,1.654941,96.506630,-0.106003,-0.486862,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
