Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,1.167601,2.496999,0.439449,0.312637,0.862478,0.404651,1.403897,0.055956,-0.481938,-0.022601,-2.648504,0.085757,2.009007,0.502293,0.032246,0.033207,1.916943,2.170556,-0.372269,0.056595,2.609102,2.521525,2.611281,-0.202982,-0.198792,-1.114926,32.479462,28.952599,-7.586898,12.691125,41.754498,0.053859,0.385893,0.651074,37.039768,87.000000,22.001818,-1.137065,12.000000,12.000000,12.000000,-50.336189,-52.094158,37.039768,89.179276,22.001818,-1.137065,21.528198,94.502266,68.292931,-50.336189,-52.094158,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.576797,1.275140,0.060054,0.687736,0.667703,0.738763,1.120011,0.124646,-0.408752,-0.037462,-2.649509,0.172761,2.079260,0.589328,0.025549,0.026544,1.999930,2.194178,-0.293077,0.161189,2.607666,1.475805,2.611279,-0.198439,-0.199819,-4.578759,0.004478,7.716647,-0.782220,0.007954,-1.069794,0.000086,0.226564,-0.063931,7.522096,32.336098,6.555091,13.921990,5.963007,12.000000,12.000000,-37.511063,-39.895935,7.522096,32.336098,6.555091,13.921990,5.963007,102.998482,49.969990,-37.511063,-39.895935,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.356683,0.882217,-0.268064,0.789227,0.783188,0.792093,1.592690,0.191236,-0.335365,-0.055456,-2.647901,0.260340,2.141957,0.676242,0.019002,0.019864,1.545807,2.200842,-0.322759,0.344638,2.450238,0.922344,2.608725,-0.194363,-0.199683,-25.278925,0.008554,9.421065,4.228633,-9.570178,-6.345191,1.905026,0.173912,0.009875,-6.425119,10.730060,-5.058519,17.609392,3.554573,12.000000,12.000000,-24.776562,-26.419844,-6.425119,10.730060,-5.058519,17.609392,3.554573,101.653999,62.059044,-24.776562,-26.419844,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.502344,0.572561,-0.405367,0.850474,1.115798,0.763690,2.466063,0.261127,-0.261946,-0.090304,-2.641178,0.349175,2.202815,0.762677,0.012595,0.013235,1.684173,2.200694,-0.866307,0.521011,2.609866,0.815367,2.528430,-0.190669,-0.197620,-27.020149,-0.085244,11.680064,5.420687,0.048552,-5.499555,-1.640482,0.115048,0.076097,-6.612541,-7.534224,-6.215920,19.122482,9.822651,12.000000,12.000000,-12.306581,-13.191296,-6.612541,-7.534224,-6.215920,19.122482,9.822651,96.053429,90.136604,-12.306581,-13.191296,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.630870,0.318098,-0.527010,0.891281,1.390172,0.635228,3.221749,0.332700,-0.192357,-0.139922,-2.630382,0.438461,2.262783,0.848666,0.006987,0.007228,1.546097,1.947957,-1.115598,0.560342,2.609097,0.782098,2.506476,-0.126411,-0.141308,-36.246246,-5.749876,22.859629,1.597566,-0.044589,-3.032062,-0.861669,2.962838,3.239575,-7.336929,-22.849861,-5.805315,19.610209,12.000000,12.000000,12.000000,-1.366823,-0.369686,-7.336929,-22.849861,-5.805315,19.610209,13.668059,86.389870,113.607941,-1.366823,-0.369686,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.895555,0.157183,-0.566859,0.972237,1.702255,0.534691,4.013455,0.404216,-0.132785,-0.198010,-2.618175,0.527997,2.323011,0.935362,0.003898,0.003840,1.614157,1.508436,-1.335159,0.545335,2.607187,0.836045,2.573931,-0.065797,-0.073441,-35.138332,-14.116186,29.083012,-1.656686,0.017624,0.342715,-0.652771,1.482858,1.726747,-2.671316,-33.351810,-1.721996,21.732700,12.000000,12.000000,12.000000,-1.361058,-0.283589,-2.671316,-33.351810,-1.721996,21.732700,19.009640,77.595253,138.114670,-1.361058,-0.283589,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1.250473,0.061349,-0.679049,1.243270,1.921206,0.375035,4.778551,0.479866,-0.087228,-0.263675,-2.600617,0.618155,2.386300,1.022439,0.002251,0.002077,2.076311,1.080467,-1.845658,0.847069,2.605572,0.877061,2.613024,-0.035063,-0.038556,-9.079813,-14.406874,9.411041,4.972340,12.890138,15.217419,0.145125,0.836055,0.768525,5.643250,-39.698750,-0.602763,30.711296,12.000000,12.000000,12.000000,-1.002088,-0.509401,5.643250,-39.698750,-0.602763,30.711296,21.462116,67.149612,161.667969,-1.002088,-0.509401,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1.476011,0.308281,-0.831987,1.164739,2.158973,0.238334,5.773316,0.556751,-0.052176,-0.332481,-2.575738,0.707937,2.455096,1.109499,0.001297,0.001230,2.099760,0.847711,-1.917138,0.968392,2.606612,1.301037,2.612335,-0.020860,-0.017828,-10.717863,-8.937066,11.173288,0.604355,9.559750,13.910386,0.089722,0.415383,0.395327,8.337507,-31.689465,-0.914327,25.043827,12.000000,12.000000,12.000000,-0.647034,-0.724825,8.337507,-31.689465,-0.914327,25.043827,23.528170,54.612541,194.492035,-0.647034,-0.724825,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1.755158,0.407781,-0.867741,1.129839,2.299203,0.026129,6.283741,0.624692,-0.023372,-0.392075,-2.547730,0.797355,2.534453,1.196546,0.000725,0.000881,1.867672,0.685241,-1.605584,0.979366,2.607329,1.990921,2.611903,-0.012796,-0.006029,-9.426448,-5.616148,12.896854,-0.425062,4.953832,16.153835,0.026236,0.193035,0.256908,14.729974,-29.354980,1.692136,21.406944,12.000000,12.000000,12.000000,-0.363387,-0.992451,14.729974,-29.354980,1.692136,21.406944,21.650543,37.606262,207.941925,-0.363387,-0.992451,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1.943369,0.484918,-0.905369,1.024421,2.358483,-0.174291,6.572628,0.685634,-0.000988,-0.441440,-2.522352,0.885948,2.621165,1.283564,0.000351,0.000783,1.712098,0.461520,-1.285679,0.742172,2.643999,2.608006,2.611541,-0.007785,-0.000896,-7.459538,-7.195093,12.490152,-6.734390,1.870365,7.704906,0.022116,0.143155,0.113351,17.880589,-27.548843,3.237225,15.501495,12.000000,12.000000,12.000000,-0.025919,-1.337987,17.880589,-27.548843,3.237225,15.501495,16.540440,19.856226,212.535812,-0.025919,-1.337987,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1.854601,0.655431,-1.165416,0.947236,2.347484,-0.300361,6.763272,0.761413,0.016174,-0.504544,-2.504922,0.973980,2.708160,1.370565,0.000137,0.000740,2.099108,0.361293,-1.708539,0.462114,2.637514,2.608284,2.610733,-0.003317,-0.001193,-11.449269,-4.013563,11.477272,-9.771734,-0.412502,-0.010800,-0.010715,0.130811,-0.038982,7.005270,-21.662525,-1.051129,11.574572,8.921322,7.338343,12.000000,0.105003,-1.480338,7.005270,-21.662525,-1.051129,11.574572,8.921322,7.338343,213.202148,0.105003,-1.480338,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,2.015696,0.774097,-1.168194,0.934785,2.387481,-0.456140,6.857070,0.824898,0.031759,-0.557422,-2.493204,1.060568,2.757838,1.456675,0.000076,0.000666,1.762422,0.356840,-1.418253,0.348829,2.611229,1.005056,2.564245,0.002321,-0.004375,-9.252676,-0.776104,10.502299,-5.671513,0.432258,-26.980703,2.286930,0.273743,-0.276020,9.392809,-17.954727,2.235165,10.695168,3.714912,-0.182282,12.000000,0.097443,-1.511865,9.392809,-17.954727,2.235165,10.695168,3.714912,-0.182282,210.380630,0.097443,-1.511865,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,2.104233,0.663384,-1.261258,1.165022,2.394827,-0.427955,7.021640,0.886438,0.046767,-0.608531,-2.482904,1.132943,2.782437,1.543687,0.000172,0.000467,1.711913,0.318841,-1.378507,0.399077,1.653697,0.592989,2.610291,0.003604,-0.005345,-9.315984,-2.111243,9.523028,0.187592,-37.004955,-10.676175,-0.008039,-0.056065,0.025114,8.135849,-23.556513,2.439386,19.273455,-1.430086,0.998483,12.000000,-0.718929,-0.546216,8.135849,-23.556513,2.439386,19.273455,-1.430086,0.998483,209.689392,-0.718929,-0.546216,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,2.085463,0.771055,-1.352976,1.096906,2.389449,-0.419087,7.110720,0.940314,0.060872,-0.652240,-2.473887,1.168315,2.798050,1.630697,0.000169,0.000311,1.265916,0.302624,-0.925977,0.315016,0.768163,0.417872,2.610101,0.000513,-0.004087,-25.694860,-1.307875,26.651478,-2.565960,-19.822132,-7.130681,-0.004220,-0.080901,0.052428,3.284947,-20.289871,2.086440,15.888991,-1.138094,0.764529,12.000000,-0.550830,-0.263782,3.284947,-20.289871,2.086440,15.888991,-1.138094,0.764529,206.292740,-0.550830,-0.263782,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,2.111439,0.711613,-1.512072,1.106858,2.333697,-0.475484,7.195175,0.993342,0.072461,-0.697452,-2.468391,1.171398,2.792544,1.716727,0.000136,0.000195,1.253183,0.168747,-0.977260,0.190899,0.066052,-0.122745,2.486303,0.000495,-0.003978,-26.227919,-4.946825,28.129065,-3.868694,-1.123040,2.289301,-6.063623,-0.005115,-0.011651,0.071960,-23.445133,-0.423976,16.102209,-0.668065,0.914157,12.000000,-0.353888,-0.136892,0.071960,-23.445133,-0.423976,16.102209,-0.668065,0.914157,202.808197,-0.353888,-0.136892,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,2.119728,0.721112,-1.571713,1.156876,2.280883,-0.468953,7.292311,1.031280,0.079882,-0.727645,-2.465749,1.159864,2.788287,1.801980,0.000122,0.000111,0.916241,0.065274,-0.650302,0.156141,-0.259335,-0.010551,2.410621,0.000859,-0.001661,-17.619116,-3.519197,18.689428,-0.402359,5.427484,3.167965,-7.452163,0.000676,0.103586,-1.238220,-23.302383,-1.805359,18.181791,-0.622054,1.280758,12.000000,-0.348599,0.055739,-1.238220,-23.302383,-1.805359,18.181791,-0.622054,1.280758,200.044998,-0.348599,0.055739,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,2.091131,0.784288,-1.667960,1.259835,2.190777,-0.437170,7.357673,1.061312,0.087302,-0.752566,-2.460306,1.132307,2.790877,1.886667,0.000128,0.000071,0.718636,0.146538,-0.579518,0.348046,-0.647005,0.182552,2.322379,0.000499,-0.000795,-15.827736,1.591173,13.913969,6.468168,13.224434,1.027206,-11.771821,-0.065683,0.056804,-4.158055,-21.292250,-4.120893,21.745651,-0.549333,1.713610,12.000000,-0.429637,0.012559,-4.158055,-21.292250,-4.120893,21.745651,-0.549333,1.713610,195.904510,-0.429637,0.012559,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
