Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,agent_joint_pos_J8,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
203,-0.133264,-3.717183,-0.141203,-1.331620,-0.735524,1.892234,0.356099,1.892262,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032985,0.000120,0.205089,-0.000002,-0.019548,-0.000177,0.000014,0.000178,0.000002,0.000054,-0.000001,0.000009,0.000002,0.000191,-0.000001,0.000000,-0.045126,-53.183292,-0.982011,-32.321129,0.791718,12.000000,0.054206,0.069772,-0.001435,-0.045126,-53.183292,-0.982011,-32.321129,0.791718,18.449373,0.054206,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
204,-0.133264,-3.717183,-0.141203,-1.331620,-0.735524,1.892234,0.356099,1.892263,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919349,0.039974,0.040000,0.010611,-0.000004,0.032986,0.000120,0.205089,-0.000002,-0.019548,-0.000177,0.000014,0.000157,-0.000010,0.000067,-0.000002,0.000089,-0.000009,0.000199,-0.000001,-0.000000,-0.045137,-53.183292,-0.982011,-32.321148,0.791723,12.000000,0.054206,0.069773,-0.001434,-0.045137,-53.183292,-0.982011,-32.321148,0.791723,18.449373,0.054206,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
205,-0.133264,-3.717182,-0.141203,-1.331620,-0.735524,1.892234,0.356099,1.892263,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919349,0.039974,0.040000,0.010613,-0.000004,0.032987,0.000120,0.205090,-0.000002,-0.019547,-0.000177,0.000014,0.000105,0.000004,0.000016,-0.000000,-0.000016,-0.000027,0.000094,-0.000001,-0.000000,-0.045155,-53.183273,-0.982014,-32.321148,0.791719,12.000000,0.054202,0.069772,-0.001433,-0.045155,-53.183273,-0.982014,-32.321148,0.791719,18.449371,0.054202,0.069772,-0.001433,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
206,-0.133264,-3.717182,-0.141203,-1.331620,-0.735524,1.892234,0.356099,1.892263,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919349,0.039974,0.040000,0.010614,-0.000004,0.032986,0.000120,0.205089,-0.000002,-0.019545,-0.000177,0.000014,0.000058,0.000003,-0.000004,-0.000002,0.000095,0.000011,0.000097,0.000001,0.000001,-0.045175,-53.183292,-0.982023,-32.321148,0.791728,12.000000,0.054204,0.069774,-0.001435,-0.045175,-53.183292,-0.982023,-32.321148,0.791728,18.449373,0.054204,0.069774,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
207,-0.133264,-3.717182,-0.141203,-1.331620,-0.735524,1.892234,0.356099,1.892263,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919349,0.039974,0.040000,0.010615,-0.000004,0.032987,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000024,-0.000004,0.000007,0.000003,0.000010,-0.000020,0.000013,0.000000,-0.000000,-0.045194,-53.183273,-0.982011,-32.321148,0.791724,12.000000,0.054200,0.069773,-0.001435,-0.045194,-53.183273,-0.982011,-32.321148,0.791724,18.449373,0.054200,0.069773,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208,-0.133264,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356099,1.892263,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919349,0.039974,0.040000,0.010615,-0.000004,0.032986,0.000120,0.205089,-0.000002,-0.019544,-0.000177,0.000014,-0.000006,-0.000001,0.000004,-0.000002,0.000106,0.000003,-0.000109,-0.000000,0.000001,-0.045209,-53.183273,-0.982015,-32.321148,0.791729,12.000000,0.054197,0.069773,-0.001433,-0.045209,-53.183273,-0.982015,-32.321148,0.791729,18.449373,0.054197,0.069773,-0.001433,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209,-0.133264,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356099,1.892263,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919349,0.039974,0.040000,0.010614,-0.000004,0.032986,0.000120,0.205089,-0.000002,-0.019545,-0.000177,0.000014,-0.000028,-0.000003,-0.000010,0.000007,-0.000001,-0.000010,-0.000082,0.000001,0.000001,-0.045217,-53.183273,-0.982015,-32.321148,0.791726,12.000000,0.054196,0.069774,-0.001434,-0.045217,-53.183273,-0.982015,-32.321148,0.791726,18.449373,0.054196,0.069774,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210,-0.133264,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356099,1.892263,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919349,0.039974,0.040000,0.010613,-0.000004,0.032985,0.000119,0.205090,-0.000002,-0.019545,-0.000177,0.000014,-0.000047,-0.000002,-0.000019,-0.000005,0.000055,-0.000008,-0.000101,-0.000000,0.000000,-0.045226,-53.183292,-0.982020,-32.321129,0.791730,12.000000,0.054196,0.069774,-0.001435,-0.045226,-53.183292,-0.982020,-32.321129,0.791730,18.449373,0.054196,0.069774,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
211,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892263,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919349,0.039974,0.040000,0.010612,-0.000004,0.032985,0.000120,0.205089,-0.000002,-0.019544,-0.000177,0.000014,-0.000063,0.000003,-0.000028,0.000002,0.000021,0.000006,-0.000097,-0.000001,0.000001,-0.045234,-53.183254,-0.982015,-32.321129,0.791727,12.000000,0.054197,0.069773,-0.001434,-0.045234,-53.183254,-0.982015,-32.321129,0.791727,18.449373,0.054197,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
212,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892263,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919350,0.039974,0.040000,0.010611,-0.000004,0.032984,0.000119,0.205090,-0.000002,-0.019544,-0.000177,0.000014,-0.000076,-0.000000,-0.000034,-0.000003,0.000012,-0.000016,-0.000110,-0.000001,0.000000,-0.045240,-53.183273,-0.982017,-32.321129,0.791727,12.000000,0.054197,0.069773,-0.001435,-0.045240,-53.183273,-0.982017,-32.321129,0.791727,18.449371,0.054197,0.069773,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
213,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892263,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000120,0.205089,-0.000002,-0.019544,-0.000177,0.000014,-0.000067,-0.000005,-0.000030,-0.000001,0.000010,-0.000011,-0.000110,-0.000001,0.000001,-0.045237,-53.183273,-0.982016,-32.321129,0.791726,12.000000,0.054197,0.069774,-0.001434,-0.045237,-53.183273,-0.982016,-32.321129,0.791726,18.449373,0.054197,0.069774,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
214,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919350,0.039974,0.040000,0.010608,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019544,-0.000177,0.000014,-0.000050,-0.000005,-0.000001,0.000001,0.000066,-0.000018,-0.000089,-0.000000,0.000001,-0.045233,-53.183273,-0.982012,-32.321110,0.791729,12.000000,0.054197,0.069772,-0.001434,-0.045233,-53.183273,-0.982012,-32.321110,0.791729,18.449371,0.054197,0.069772,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
215,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019544,-0.000177,0.000014,-0.000041,-0.000000,-0.000012,0.000004,-0.000039,0.000008,-0.000102,-0.000001,0.000000,-0.045228,-53.183273,-0.982010,-32.321110,0.791723,12.000000,0.054197,0.069773,-0.001435,-0.045228,-53.183273,-0.982010,-32.321110,0.791723,18.449354,0.054197,0.069773,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
216,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356101,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032983,0.000119,0.205089,-0.000002,-0.019545,-0.000177,0.000014,-0.000026,-0.000001,-0.000007,-0.000007,0.000015,0.000016,-0.000103,0.000000,-0.000001,-0.045221,-53.183292,-0.982014,-32.321110,0.791724,12.000000,0.054196,0.069773,-0.001435,-0.045221,-53.183292,-0.982014,-32.321110,0.791724,18.449373,0.054196,0.069773,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
217,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356101,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010606,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,-0.000015,0.000002,0.000013,-0.000001,-0.000027,0.000013,0.000004,0.000001,0.000000,-0.045218,-53.183273,-0.982005,-32.321110,0.791721,12.000000,0.054200,0.069774,-0.001434,-0.045218,-53.183273,-0.982005,-32.321110,0.791721,18.449354,0.054200,0.069774,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
218,-0.133264,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919350,0.039974,0.040000,0.010606,-0.000004,0.032983,0.000119,0.205089,-0.000002,-0.019546,-0.000177,0.000014,-0.000007,-0.000003,0.000003,-0.000006,0.000080,0.000001,-0.000014,-0.000000,-0.000000,-0.045213,-53.183292,-0.982018,-32.321110,0.791728,12.000000,0.054199,0.069773,-0.001434,-0.045213,-53.183292,-0.982018,-32.321110,0.791728,18.449371,0.054199,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
219,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919350,0.039974,0.040000,0.010606,-0.000004,0.032983,0.000120,0.205092,-0.000002,-0.019546,-0.000177,0.000014,-0.000001,0.000009,0.000003,-0.000007,-0.000010,0.000009,0.000106,0.000000,-0.000001,-0.045210,-53.183292,-0.982012,-32.321110,0.791724,12.000000,0.054203,0.069773,-0.001434,-0.045210,-53.183292,-0.982012,-32.321110,0.791724,18.449371,0.054203,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010606,-0.000004,0.032983,0.000119,0.205091,-0.000002,-0.019544,-0.000177,0.000014,0.000006,0.000001,-0.000015,-0.000001,-0.000048,0.000004,-0.000104,0.000001,0.000000,-0.045204,-53.183292,-0.982017,-32.321110,0.791722,12.000000,0.054197,0.069773,-0.001434,-0.045204,-53.183292,-0.982017,-32.321110,0.791722,18.449352,0.054197,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
221,-0.133264,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066597,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010606,-0.000004,0.032983,0.000120,0.205091,-0.000002,-0.019545,-0.000177,0.000014,0.000011,0.000005,-0.000012,0.000003,-0.000048,0.000009,0.000102,0.000001,-0.000001,-0.045201,-53.183292,-0.982018,-32.321110,0.791722,12.000000,0.054204,0.069774,-0.001435,-0.045201,-53.183292,-0.982018,-32.321110,0.791722,18.449354,0.054204,0.069774,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
222,-0.133264,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000006,0.000001,-0.000027,0.000001,-0.000061,0.000005,0.000090,0.000001,-0.000000,-0.045201,-53.183273,-0.982024,-32.321110,0.791723,12.000000,0.054204,0.069773,-0.001434,-0.045201,-53.183273,-0.982024,-32.321110,0.791723,18.449373,0.054204,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
223,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032983,0.000119,0.205090,-0.000002,-0.019544,-0.000177,0.000014,0.000017,-0.000005,0.000031,-0.000005,0.000115,0.000017,-0.000110,0.000000,0.000000,-0.045205,-53.183273,-0.982015,-32.321110,0.791730,12.000000,0.054197,0.069772,-0.001434,-0.045205,-53.183273,-0.982015,-32.321110,0.791730,18.449354,0.054197,0.069772,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
224,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032983,0.000120,0.205089,-0.000002,-0.019545,-0.000177,0.000014,0.000012,0.000013,0.000003,0.000003,-0.000048,0.000017,0.000101,0.000000,-0.000000,-0.045202,-53.183292,-0.982015,-32.321110,0.791720,12.000000,0.054204,0.069772,-0.001434,-0.045202,-53.183292,-0.982015,-32.321110,0.791720,18.449354,0.054204,0.069772,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
225,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010607,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000008,-0.000012,-0.000001,0.000002,-0.000048,-0.000006,0.000007,-0.000000,0.000001,-0.045203,-53.183273,-0.982015,-32.321129,0.791723,12.000000,0.054200,0.069772,-0.001435,-0.045203,-53.183273,-0.982015,-32.321129,0.791723,18.449352,0.054200,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
226,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010608,-0.000004,0.032983,0.000120,0.205089,-0.000002,-0.019546,-0.000177,0.000014,0.000017,-0.000003,-0.000007,-0.000000,-0.000045,-0.000006,-0.000005,-0.000001,0.000000,-0.045198,-53.183292,-0.982018,-32.321110,0.791722,12.000000,0.054199,0.069773,-0.001434,-0.045198,-53.183292,-0.982018,-32.321110,0.791722,18.449354,0.054199,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
227,-0.133265,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010608,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000014,-0.000002,-0.000012,-0.000003,0.000009,0.000017,0.000002,0.000000,0.000000,-0.045199,-53.183273,-0.982023,-32.321129,0.791726,12.000000,0.054200,0.069773,-0.001434,-0.045199,-53.183273,-0.982023,-32.321129,0.791726,18.449373,0.054200,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
228,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010608,-0.000004,0.032983,0.000120,0.205089,-0.000002,-0.019545,-0.000177,0.000014,0.000019,0.000002,0.000011,0.000002,0.000033,-0.000025,-0.000009,-0.000001,0.000001,-0.045200,-53.183273,-0.982018,-32.321129,0.791725,12.000000,0.054200,0.069771,-0.001433,-0.045200,-53.183273,-0.982018,-32.321129,0.791725,18.449352,0.054200,0.069771,-0.001433,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
229,-0.133265,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010608,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000013,-0.000006,-0.000011,-0.000001,-0.000037,-0.000013,0.000001,-0.000000,-0.000000,-0.045199,-53.183273,-0.982021,-32.321129,0.791723,12.000000,0.054200,0.069773,-0.001434,-0.045199,-53.183273,-0.982021,-32.321129,0.791723,18.449354,0.054200,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
230,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000017,-0.000003,0.000003,-0.000001,0.000001,0.000012,0.000002,0.000000,0.000000,-0.045199,-53.183273,-0.982018,-32.321129,0.791723,12.000000,0.054200,0.069773,-0.001434,-0.045199,-53.183273,-0.982018,-32.321129,0.791723,18.449354,0.054200,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
231,-0.133265,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000119,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000014,0.000003,-0.000004,-0.000002,0.000012,0.000004,-0.000004,-0.000000,-0.000001,-0.045200,-53.183273,-0.982021,-32.321129,0.791725,12.000000,0.054200,0.069772,-0.001435,-0.045200,-53.183273,-0.982021,-32.321129,0.791725,18.449354,0.054200,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
232,-0.133265,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000120,0.205089,-0.000002,-0.019546,-0.000177,0.000014,-0.000001,-0.000013,-0.000012,-0.000001,-0.000021,0.000001,0.000106,-0.000000,0.000001,-0.045206,-53.183273,-0.982020,-32.321129,0.791723,12.000000,0.054203,0.069772,-0.001434,-0.045206,-53.183273,-0.982020,-32.321129,0.791723,18.449371,0.054203,0.069772,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
233,-0.133265,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000119,0.205090,-0.000002,-0.019545,-0.000177,0.000014,-0.000003,-0.000003,-0.000003,-0.000003,0.000021,0.000021,-0.000004,0.000000,-0.000001,-0.045208,-53.183273,-0.982019,-32.321129,0.791725,12.000000,0.054200,0.069773,-0.001434,-0.045208,-53.183273,-0.982019,-32.321129,0.791725,18.449373,0.054200,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
234,-0.133265,-3.717182,-0.141203,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,0.000001,0.000002,-0.000006,-0.000001,-0.000021,0.000010,-0.000008,-0.000001,-0.000000,-0.045206,-53.183273,-0.982018,-32.321129,0.791723,12.000000,0.054200,0.069772,-0.001435,-0.045206,-53.183273,-0.982018,-32.321129,0.791723,18.449373,0.054200,0.069772,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
235,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000120,0.205090,-0.000002,-0.019545,-0.000177,0.000014,-0.000006,-0.000003,0.000007,-0.000005,-0.000031,0.000004,-0.000001,-0.000000,-0.000000,-0.045211,-53.183273,-0.982012,-32.321129,0.791722,12.000000,0.054200,0.069773,-0.001434,-0.045211,-53.183273,-0.982012,-32.321129,0.791722,18.449373,0.054200,0.069773,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
236,-0.133265,-3.717182,-0.141202,-1.331620,-0.735525,1.892234,0.356100,1.892262,-0.066598,-1.762800,-0.059975,-3.071802,-0.387913,3.752500,0.919350,0.039974,0.040000,0.010609,-0.000004,0.032983,0.000119,0.205090,-0.000002,-0.019545,-0.000177,0.000014,-0.000010,-0.000001,0.000010,-0.000001,0.000043,0.000001,-0.000105,0.000000,-0.000001,-0.045214,-53.183273,-0.982014,-32.321129,0.791727,12.000000,0.054196,0.069773,-0.001435,-0.045214,-53.183273,-0.982014,-32.321129,0.791727,18.449371,0.054196,0.069773,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
