Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,agent_joint_pos_J8,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
183,-0.133265,-3.717183,-0.141202,-1.331624,-0.735526,1.892237,0.356086,1.892270,-0.066600,-1.762800,-0.059977,-3.071802,-0.387912,3.752500,0.919343,0.039974,0.040000,0.010697,-0.000004,0.033008,0.000120,0.205055,-0.000002,-0.019540,-0.000177,0.000014,-0.000362,0.000009,-0.000051,0.000005,0.000474,-0.000012,-0.000119,-0.000002,0.000000,-0.045348,-53.183292,-0.981969,-32.321301,0.791733,12.000000,0.054199,0.069774,-0.001434,-0.045348,-53.183292,-0.981969,-32.321301,0.791733,18.449486,0.054199,0.069774,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
184,-0.133265,-3.717182,-0.141202,-1.331623,-0.735526,1.892237,0.356088,1.892269,-0.066598,-1.762800,-0.059976,-3.071802,-0.387913,3.752500,0.919343,0.039974,0.040000,0.010686,-0.000004,0.033005,0.000120,0.205061,-0.000002,-0.019529,-0.000177,0.000014,-0.000569,0.000008,-0.000132,0.000004,0.000496,-0.000016,-0.000313,-0.000000,-0.000000,-0.045445,-53.183292,-0.981975,-32.321281,0.791745,12.000000,0.054201,0.069775,-0.001435,-0.045445,-53.183292,-0.981975,-32.321281,0.791745,18.449469,0.054201,0.069775,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
185,-0.133265,-3.717182,-0.141201,-1.331623,-0.735527,1.892236,0.356090,1.892268,-0.066597,-1.762800,-0.059976,-3.071802,-0.387914,3.752500,0.919344,0.039974,0.040000,0.010673,-0.000004,0.033003,0.000120,0.205068,-0.000002,-0.019520,-0.000177,0.000014,-0.000680,-0.000004,-0.000126,0.000003,0.000498,0.000004,-0.000610,-0.000001,-0.000001,-0.045507,-53.183254,-0.981974,-32.321262,0.791751,12.000000,0.054196,0.069777,-0.001435,-0.045507,-53.183254,-0.981974,-32.321262,0.791751,18.449450,0.054196,0.069777,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
186,-0.133264,-3.717182,-0.141201,-1.331622,-0.735527,1.892236,0.356093,1.892267,-0.066596,-1.762800,-0.059976,-3.071802,-0.387914,3.752500,0.919344,0.039974,0.040000,0.010659,-0.000004,0.033000,0.000120,0.205075,-0.000002,-0.019511,-0.000177,0.000014,-0.000734,0.000011,-0.000161,0.000008,0.000416,-0.000030,-0.000613,0.000001,0.000001,-0.045534,-53.183254,-0.981979,-32.321224,0.791754,12.000000,0.054203,0.069777,-0.001433,-0.045534,-53.183254,-0.981979,-32.321224,0.791754,18.449429,0.054203,0.069777,-0.001433,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
187,-0.133264,-3.717182,-0.141201,-1.331621,-0.735527,1.892235,0.356095,1.892266,-0.066595,-1.762800,-0.059975,-3.071802,-0.387915,3.752500,0.919345,0.039974,0.040000,0.010644,-0.000004,0.032996,0.000120,0.205083,-0.000002,-0.019505,-0.000177,0.000014,-0.000754,-0.000004,-0.000190,-0.000000,0.000376,-0.000006,-0.000606,-0.000000,0.000001,-0.045547,-53.183254,-0.981985,-32.321186,0.791757,12.000000,0.054208,0.069776,-0.001435,-0.045547,-53.183254,-0.981985,-32.321186,0.791757,18.449411,0.054208,0.069776,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
188,-0.133263,-3.717181,-0.141201,-1.331621,-0.735527,1.892235,0.356097,1.892265,-0.066594,-1.762800,-0.059975,-3.071802,-0.387915,3.752500,0.919346,0.039974,0.040000,0.010629,-0.000004,0.032992,0.000120,0.205087,-0.000002,-0.019502,-0.000177,0.000014,-0.000721,0.000001,-0.000213,-0.000003,0.000252,0.000016,-0.000624,0.000000,-0.000001,-0.045533,-53.183254,-0.981997,-32.321167,0.791754,12.000000,0.054211,0.069777,-0.001435,-0.045533,-53.183254,-0.981997,-32.321167,0.791754,18.449411,0.054211,0.069777,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
189,-0.133263,-3.717181,-0.141201,-1.331620,-0.735527,1.892235,0.356099,1.892264,-0.066594,-1.762800,-0.059975,-3.071802,-0.387915,3.752500,0.919347,0.039974,0.040000,0.010616,-0.000004,0.032988,0.000119,0.205093,-0.000002,-0.019497,-0.000177,0.000014,-0.000643,-0.000011,-0.000178,-0.000009,0.000146,-0.000004,-0.000619,0.000000,0.000001,-0.045504,-53.183254,-0.981995,-32.321148,0.791748,12.000000,0.054214,0.069776,-0.001435,-0.045504,-53.183254,-0.981995,-32.321148,0.791748,18.449392,0.054214,0.069776,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
190,-0.133263,-3.717181,-0.141201,-1.331620,-0.735527,1.892234,0.356100,1.892263,-0.066594,-1.762800,-0.059975,-3.071802,-0.387915,3.752500,0.919347,0.039974,0.040000,0.010604,-0.000004,0.032985,0.000120,0.205094,-0.000002,-0.019495,-0.000177,0.000014,-0.000576,0.000002,-0.000204,-0.000003,-0.000012,0.000003,-0.000608,0.000001,-0.000001,-0.045471,-53.183235,-0.982007,-32.321129,0.791739,12.000000,0.054216,0.069776,-0.001435,-0.045471,-53.183235,-0.982007,-32.321129,0.791739,18.449373,0.054216,0.069776,-0.001435,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
191,-0.133263,-3.717181,-0.141202,-1.331619,-0.735526,1.892234,0.356102,1.892262,-0.066594,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919348,0.039974,0.040000,0.010594,-0.000004,0.032981,0.000119,0.205095,-0.000002,-0.019496,-0.000177,0.000014,-0.000455,-0.000004,-0.000164,-0.000003,-0.000063,0.000004,-0.000602,0.000001,0.000001,-0.045420,-53.183235,-0.982007,-32.321110,0.791732,12.000000,0.054215,0.069775,-0.001434,-0.045420,-53.183235,-0.982007,-32.321110,0.791732,18.449354,0.054215,0.069775,-0.001434,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
192,-0.133264,-3.717181,-0.141202,-1.331619,-0.735526,1.892234,0.356102,1.892262,-0.066594,-1.762800,-0.059975,-3.071802,-0.387914,3.752500,0.919349,0.039974,0.040000,0.010587,-0.000004,0.032979,0.000120,0.205095,-0.000002,-0.019500,-0.000177,0.000014,-0.000349,-0.000007,-0.000126,0.000005,-0.000109,-0.000001,-0.000583,0.000001,-0.000001,-0.045376,-53.183235,-0.982007,-32.321110,0.791727,12.000000,0.054213,0.069774,-0.001436,-0.045376,-53.183235,-0.982007,-32.321110,0.791727,18.449354,0.054213,0.069774,-0.001436,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
