Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,1.022992,4.052231,0.669059,0.694201,0.565972,-0.568025,0.126821,0.047472,-0.474281,-0.009590,-2.634396,0.085010,2.002238,0.502301,0.032257,0.033209,1.824194,2.186171,0.048989,0.645133,2.606754,1.839121,2.612217,-0.202320,-0.198646,8.023188,24.907164,31.681732,4.509841,0.042086,27.769960,-0.054688,0.420845,0.607644,32.785130,87.000000,29.112146,12.065447,8.939863,12.000000,12.000000,-50.344467,-52.184978,32.785130,150.317780,29.112146,12.065447,8.939863,57.638863,17.198612,-50.344467,-52.184978,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.271163,2.611819,0.255357,0.708746,-0.580547,-0.167023,-1.378992,0.084266,-0.401138,0.011179,-2.615675,0.006360,2.078281,0.415182,0.025783,0.026841,0.480220,2.189038,1.208655,0.666369,-2.611772,1.856078,-2.609602,-0.184063,-0.178276,-35.154945,-0.024791,30.254494,-6.858115,-0.004821,7.328181,0.027008,1.141962,1.359016,0.759567,85.205376,7.814238,10.369975,-12.000000,12.000000,-12.000000,-37.409737,-39.550690,0.759567,85.205376,7.814238,10.369975,-16.735464,66.171364,-22.133858,-37.409737,-39.550690,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.028391,2.366107,0.457587,0.721039,-1.733459,0.093455,-3.145357,0.062724,-0.328101,0.081369,-2.602496,-0.080044,2.155386,0.328177,0.019588,0.020909,-0.779727,2.190178,2.178972,0.500706,-2.611624,1.859864,-2.609596,-0.186493,-0.177434,-4.975637,-0.036335,0.045876,-5.259043,0.004177,1.365166,0.007954,-0.137275,0.003620,-2.125848,69.531281,5.986021,10.359528,-12.000000,12.000000,-12.000000,-26.987457,-29.995892,-2.125848,69.531281,5.986021,10.359528,-55.944435,70.014290,-85.829094,-26.987457,-29.995892,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,-0.061977,1.739366,0.499657,0.928973,-2.094049,0.260812,-3.781096,0.031955,-0.254659,0.154133,-2.588505,-0.165715,2.224346,0.241179,0.013255,0.014981,-0.972428,2.199821,2.183981,0.680339,-2.612574,1.366699,-2.609387,-0.191672,-0.177210,-4.749866,-0.110335,0.054331,1.514125,0.016694,10.763411,0.006223,-0.245502,0.031106,-2.758775,38.557205,1.833850,17.403028,-12.000000,12.000000,-12.000000,-14.152391,-18.110497,-2.758775,38.557205,1.833850,17.403028,-63.457527,73.536957,-104.300568,-14.152391,-18.110497,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,-0.297556,1.240542,0.434444,0.944677,-2.530701,0.338277,-4.591994,-0.006535,-0.180998,0.224463,-2.571792,-0.251160,2.296980,0.154156,0.007375,0.009044,-1.005010,2.207179,1.830862,0.731911,-2.613598,1.518147,-2.609805,-0.138027,-0.158649,11.637146,0.045104,-21.240469,0.852932,-0.005507,2.859463,0.022831,3.115379,1.246903,-8.146997,12.702095,-6.605554,16.548717,-12.000000,12.000000,-12.000000,-1.132170,-6.025724,-8.146997,12.702095,-6.605554,16.548717,-74.100388,69.767593,-129.772263,-1.132170,-6.025724,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,-0.263858,0.730197,0.530028,1.052293,-2.769623,0.418747,-5.042772,-0.037555,-0.107618,0.278357,-2.551285,-0.336271,2.367165,0.067223,0.004009,0.005083,-0.479830,2.157851,1.107676,0.866053,-2.614945,1.351560,-2.609713,-0.072322,-0.085522,23.125774,-2.552547,-29.345768,1.233573,-0.054359,5.517661,-0.008926,1.625879,1.893931,-5.069776,-13.580101,-5.624785,18.866791,-12.000000,12.000000,-12.000000,-0.918006,-1.803328,-5.069776,-13.580101,-5.624785,18.866791,-76.824913,68.128700,-140.851135,-0.918006,-1.803328,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,-0.429916,0.008534,0.380505,1.360308,-2.757763,0.398578,-5.480972,-0.047882,-0.046815,0.300113,-2.526371,-0.420661,2.430109,-0.019817,0.002209,0.002949,-0.162484,1.388115,0.326689,0.979953,-2.624277,0.791221,-2.609641,-0.038285,-0.046545,5.814002,-22.599205,-20.160757,-0.083832,-0.038209,6.105369,0.000629,0.751720,1.031749,-12.629228,-46.302994,-10.843683,28.808308,-12.000000,12.000000,-12.000000,-0.903785,-1.311387,-12.629228,-46.302994,-10.843683,28.808308,-69.522026,64.279572,-151.417007,-0.903785,-1.311387,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,-0.227225,0.195988,0.427420,1.132753,-2.290928,0.046361,-5.362688,-0.039334,-0.008945,0.289906,-2.507563,-0.505311,2.506347,-0.106843,0.001296,0.001729,0.170777,0.735962,-0.320047,0.589786,-2.621221,1.609612,-2.609481,-0.016615,-0.028084,-8.640735,-19.529831,0.425445,-8.607948,-0.003619,0.562499,0.001173,0.606715,0.452267,-6.899750,-39.912350,-5.251099,18.842869,-12.000000,12.000000,-12.000000,-0.627262,-0.976709,-6.899750,-39.912350,-5.251099,18.842869,-44.136330,40.958576,-139.722580,-0.627262,-0.976709,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,-0.236016,0.279782,0.389277,1.126048,-2.193555,-0.122753,-5.564382,-0.034107,0.010370,0.273553,-2.497610,-0.590118,2.590788,-0.193863,0.000843,0.001051,-0.001901,0.258278,-0.436408,0.312298,-2.614970,2.262371,-2.609737,-0.007450,-0.015471,-10.097856,-13.894589,2.369174,-6.677598,0.300493,8.480844,-0.006752,0.280882,0.291345,-7.272219,-36.502636,-5.046338,18.688002,-12.000000,12.000000,-12.000000,-0.827932,-0.659473,-7.272219,-36.502636,-5.046338,18.688002,-33.454361,25.705608,-140.828323,-0.827932,-0.659473,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,-0.108904,0.394771,0.450353,1.106739,-2.102226,-0.280563,-5.644157,-0.033717,0.017805,0.256406,-2.492272,-0.674968,2.677746,-0.280876,0.000624,0.000683,-0.096073,0.000677,-0.445873,0.189502,-2.540282,2.605181,-2.610598,-0.004772,-0.006737,-6.568652,-7.498590,4.284659,-2.164171,-0.091667,-0.011115,0.008883,0.145867,0.162269,-1.769548,-31.444197,-1.070549,18.137764,-12.000000,10.575333,-12.000000,-0.695360,-0.741744,-1.769548,-31.444197,-1.070549,18.137764,-23.338406,10.575333,-137.053650,-0.695360,-0.741744,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
