Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,-0.901874,1.026957,1.404056,0.852038,0.582018,0.933717,0.667013,-0.071680,-0.505407,0.069925,-2.643578,0.087078,1.986623,0.502216,0.032349,0.033273,-2.147501,1.553757,2.185187,0.724182,2.609450,0.775773,2.610684,-0.196692,-0.193664,3.304167,43.262005,0.016208,22.784372,0.024991,13.522781,-0.021272,0.762391,0.948832,-24.399658,34.255043,44.738922,19.717066,9.440660,12.000000,12.000000,-50.334694,-52.077805,-24.399658,34.255043,44.738922,19.717066,9.440660,121.544388,38.819092,-50.334694,-52.077805,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.648363,0.536744,1.341020,1.438661,0.007550,0.224266,0.956799,-0.141867,-0.437325,0.142395,-2.597613,0.050949,2.020947,0.589134,0.025809,0.026591,-2.172859,2.222641,2.194091,2.115310,-1.610993,-0.212463,2.611508,-0.196051,-0.204912,-0.683556,4.787063,0.370588,13.756513,19.775360,65.521049,0.056005,-0.064043,-0.712077,-8.761726,5.304800,36.415546,35.186821,2.026752,12.000000,12.000000,-38.675499,-40.739037,-8.761726,5.304800,36.415546,35.186821,2.026752,97.216202,43.459072,-38.675499,-40.739037,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-0.629251,0.373424,1.475342,1.337564,-0.415537,0.177320,0.936029,-0.212178,-0.363980,0.215154,-2.533957,-0.033053,2.077763,0.676118,0.019180,0.019893,-2.106374,2.177064,2.177618,2.173610,-2.610968,1.039569,2.610165,-0.197910,-0.198261,2.832899,-0.733423,-0.121622,0.141478,0.045948,23.829025,-0.005164,0.038666,0.231871,-2.386335,-7.294199,35.999496,25.336979,-6.922272,12.000000,12.000000,-25.121847,-26.200457,-2.386335,-7.294199,35.999496,25.336979,-6.922272,83.631561,35.671318,-25.121847,-26.200457,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,-0.506447,0.415003,1.429029,1.304113,-0.636368,0.066979,0.852463,-0.275868,-0.290795,0.288189,-2.469162,-0.118364,2.144245,0.763163,0.012547,0.013305,-1.746955,2.187347,2.192185,2.159228,-2.611648,1.333834,2.610983,-0.198412,-0.197074,10.470607,0.626407,0.780773,-0.817895,-0.003533,10.884010,0.006537,-0.003102,0.008509,7.062000,-11.437827,28.312386,18.768909,-8.948858,12.000000,12.000000,-11.892246,-13.474173,7.062000,-11.437827,28.312386,18.768909,-8.948858,72.309669,25.363863,-11.892246,-13.474173,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,-0.330914,0.410724,1.197866,1.249720,-0.694669,-0.037113,0.718177,-0.320495,-0.219393,0.358679,-2.410593,-0.204126,2.218128,0.850245,0.006737,0.007224,-0.824520,2.069166,1.886027,1.800871,-2.611940,1.649303,2.611431,-0.132641,-0.143862,34.379025,-3.130717,-16.563126,-11.541616,-0.054588,6.072521,0.009441,3.017894,3.183511,16.507397,-17.188335,13.296569,12.308409,-4.449472,12.000000,12.000000,-0.274944,-0.342028,16.507397,-17.188335,13.296569,12.308409,-4.449472,60.814266,13.025931,-0.274944,-0.342028,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,-0.181878,0.290361,0.963092,1.200872,-0.656182,-0.171096,0.613271,-0.289723,-0.154740,0.371583,-2.371569,-0.269607,2.298229,0.935557,0.003568,0.003710,1.224946,1.663706,0.198010,0.982411,-1.357648,2.102209,2.252927,-0.070755,-0.075141,0.179622,-15.874935,3.818144,-22.254860,39.689487,7.649831,-21.527351,1.504688,1.760437,12.641103,-26.802969,8.463438,8.859866,1.223611,12.000000,1.858949,-0.249091,0.093939,12.641103,-26.802969,8.463438,8.859866,1.223611,47.622147,1.858949,-0.249091,0.093939,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,-0.366742,-0.291465,0.408165,1.305752,-0.437531,-0.138706,0.430614,-0.212765,-0.120880,0.333143,-2.366260,-0.252287,2.377699,0.945180,0.001852,0.001938,2.035578,0.353658,-1.136306,-0.104894,0.589647,1.728408,0.207416,-0.038870,-0.036595,-26.765354,-41.673515,5.544669,-27.801868,-9.539894,-18.475033,-3.629434,0.910549,0.912666,-4.623008,-50.830814,-7.060950,15.138248,0.635107,12.000000,0.132515,0.230759,-0.134978,-4.623008,-50.830814,-7.060950,15.138248,0.635107,42.161442,0.132515,0.230759,-0.134978,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,-0.563299,0.635278,0.424885,0.763157,-0.228120,-0.591621,0.476783,-0.180704,-0.112420,0.324895,-2.395596,-0.188868,2.464669,0.961003,0.000936,0.001078,0.689766,0.117829,-0.128808,-1.135529,1.630304,2.612949,0.377176,-0.021379,-0.015812,-13.629949,-3.762193,5.188680,-21.989559,-33.503914,0.062742,-7.930029,0.382513,0.661355,-10.705074,-11.558129,-8.314434,-1.005084,-0.321659,12.000000,0.012033,0.076759,-0.097926,-10.705074,-11.558129,-8.314434,-1.005084,-0.321659,15.157894,0.012033,0.076759,-0.097926,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,-0.375964,0.398145,0.089509,0.993496,-0.168144,-0.595337,0.328991,-0.103839,-0.107639,0.261875,-2.441305,-0.141147,2.551767,0.934619,0.000452,0.000620,1.836925,0.007482,-1.658196,-1.295486,1.076564,2.611882,-0.587202,-0.010432,-0.010340,-44.774513,-4.536778,28.401867,2.741039,-27.194593,-0.015664,13.838162,0.318348,0.112494,-14.275517,-21.177574,-11.254861,13.794302,0.045278,8.038462,0.029911,0.273918,-0.425267,-14.275517,-21.177574,-11.254861,13.794302,0.045278,8.038462,0.029911,0.273918,-0.425267,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,-0.667411,0.633980,-0.095426,0.927388,-0.236857,-0.838912,0.293030,-0.069825,-0.102745,0.222293,-2.481185,-0.138087,2.583530,0.911854,0.000166,0.000392,0.533418,0.144277,-1.000801,-1.042647,0.042625,0.363642,-0.507350,-0.005814,-0.005443,-29.663717,4.847632,10.792686,1.229460,0.053217,-20.272825,11.944602,0.121478,0.112232,-24.251255,-11.950766,-18.286373,13.485609,1.412664,0.732730,0.091890,0.227854,-0.263185,-24.251255,-11.950766,-18.286373,13.485609,1.412664,0.732730,0.091890,0.227854,-0.263185,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
