Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,0.707858,1.958758,-0.014909,0.452246,1.163625,1.851181,2.528240,0.057680,-0.487443,-0.038154,-2.646676,0.081296,1.996757,0.502269,0.032245,0.033169,2.084365,2.179736,-1.247771,0.327223,2.497904,1.782214,2.610383,-0.203013,-0.200860,-2.638721,46.072838,10.611226,3.849792,50.525433,35.218704,0.076218,0.386267,0.551223,17.975031,68.753983,6.367373,4.116999,12.000000,12.000000,12.000000,-50.331284,-52.040710,17.975031,68.753983,6.367373,4.116999,36.865509,155.319916,113.273346,-50.331284,-52.040710,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.723749,0.033226,-1.138517,0.865122,1.451195,2.195926,2.445621,0.086199,-0.419115,-0.081755,-2.639550,0.163747,2.043919,0.584002,0.025727,0.026580,-0.171189,1.958471,-1.303745,0.503250,2.009033,0.143077,2.219439,-0.191436,-0.197033,-59.171947,-6.218233,-3.984825,0.123689,-9.807199,-13.280149,12.519964,0.422921,0.015001,-38.723801,-16.238190,-35.778008,19.247078,12.000000,12.000000,12.000000,-38.006901,-40.016930,-38.723801,-16.238190,-35.778008,19.247078,39.549488,167.620987,105.654785,-38.006901,-40.016930,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-0.077128,-0.253577,-0.832996,1.023769,1.661302,2.128692,2.801550,0.098318,-0.361748,-0.150508,-2.630534,0.243880,2.084291,0.670991,0.019625,0.020231,0.189956,1.472301,-2.187771,0.608567,1.821273,-0.181861,2.608071,-0.181161,-0.189309,-16.129206,-15.156976,-0.136013,1.520505,3.933019,-4.380056,-0.001616,0.160533,0.109097,-12.318830,-31.490353,-15.445521,24.646965,12.000000,12.000000,12.000000,-26.924448,-27.668087,-12.318830,-31.490353,-15.445521,24.646965,43.150738,163.374466,110.709747,-26.924448,-27.668087,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.458397,-0.208998,-0.726613,1.047994,1.537634,1.844486,3.032947,0.116825,-0.319656,-0.223378,-2.619533,0.329807,2.132173,0.758070,0.013523,0.014032,0.737459,1.016042,-2.192525,0.619728,2.287298,0.407720,2.610538,-0.184466,-0.184830,14.593226,-14.222853,-0.137744,0.597804,10.372280,8.253423,-0.006094,-0.231124,0.109696,7.931442,-31.787687,-5.350423,24.707624,12.000000,12.000000,12.000000,-15.150835,-15.566191,7.931442,-31.787687,-5.350423,24.707624,30.136791,147.047073,112.992737,-15.150835,-15.566191,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.567137,-0.077112,-0.854919,0.824558,1.431781,1.445282,3.178540,0.153081,-0.293457,-0.296371,-2.615254,0.418214,2.204376,0.845131,0.007631,0.008209,1.246120,0.530312,-2.182931,0.191770,2.606566,1.600315,2.612242,-0.142208,-0.141146,11.838891,-13.881536,-0.070539,-7.469333,0.005765,-2.475993,-0.003862,2.672549,2.598629,7.842870,-27.281645,-4.680213,16.223997,12.000000,12.000000,12.000000,-2.129093,-3.452417,7.842870,-27.281645,-4.680213,16.223997,16.898508,120.734337,111.843803,-2.129093,-3.452417,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.975099,0.314433,-0.879464,0.749515,1.398926,0.987436,3.625162,0.209837,-0.274545,-0.369461,-2.616794,0.505596,2.282663,0.932196,0.004111,0.004675,1.924710,0.525323,-2.185750,0.086369,2.607965,1.901624,2.612346,-0.077074,-0.075892,12.431072,-0.213518,0.067649,-1.087155,0.011516,-13.019098,-0.047293,1.553138,1.701919,17.812887,-12.339744,0.204832,14.027639,8.563218,12.000000,12.000000,-0.944122,-1.902530,17.812887,-12.339744,0.204832,14.027639,8.563218,94.437187,122.740074,-0.944122,-1.902530,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1.463554,0.893153,-0.807432,0.640873,1.357147,0.411596,4.057231,0.272041,-0.242893,-0.437173,-2.617231,0.588360,2.363473,1.019187,0.002212,0.002770,1.787742,1.219013,-1.866588,0.194983,2.005123,2.133238,2.610801,-0.040474,-0.040639,-5.075855,19.800541,9.962424,3.735780,-34.916550,-0.216451,-0.029039,0.880074,0.966397,31.720114,7.583567,8.209629,9.712648,-0.015259,12.000000,12.000000,-0.527919,-1.455168,31.720114,7.583567,8.209629,9.712648,-0.015259,65.029617,133.068222,-0.527919,-1.455168,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1.852617,1.066376,-0.823924,0.522627,1.270181,0.205320,4.528304,0.327633,-0.187498,-0.493575,-2.616243,0.618335,2.449436,1.106151,0.001107,0.001722,1.586060,1.900080,-1.463741,0.092113,0.539907,2.609403,2.611401,-0.024040,-0.023613,-6.629691,18.928984,14.607238,-4.080118,-15.037947,8.359980,0.032115,0.358433,0.449422,43.247162,8.245646,11.251034,4.779899,-0.978683,12.000000,12.000000,-0.183412,-1.244037,43.247162,8.245646,11.251034,4.779899,-0.978683,48.818947,144.956070,-0.183412,-1.244037,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1.927758,0.885638,-0.819180,0.745366,1.382534,-0.057295,4.767753,0.375323,-0.115604,-0.530677,-2.615317,0.656683,2.534406,1.193087,0.000525,0.001135,1.343868,2.187340,-0.833029,0.154638,0.934757,2.370932,2.611927,-0.011644,-0.012240,-8.182682,4.328899,19.136513,-0.298070,-18.293186,-0.395122,-0.015163,0.349237,0.307294,42.989498,-6.363850,13.024299,13.643860,-0.698312,12.000000,12.000000,0.214366,-1.013877,42.989498,-6.363850,13.024299,13.643860,-0.698312,31.804474,147.575302,0.214366,-1.013877,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1.889596,0.650751,-0.901775,0.891822,1.389370,-0.132894,4.854595,0.421275,-0.045178,-0.553765,-2.613660,0.681066,2.620088,1.280132,0.000220,0.000780,1.298987,1.971457,-0.445482,0.179026,0.499752,2.458173,2.611640,-0.006664,-0.007780,-6.364316,-3.815353,16.827440,1.071178,-10.198173,9.444851,-0.016050,0.133445,0.105988,38.012886,-21.222775,10.405327,19.418306,-0.763969,12.000000,12.000000,0.191038,-0.926871,38.012886,-21.222775,10.405327,19.418306,-0.763969,22.287748,144.087418,0.191038,-0.926871,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1.713029,0.498948,-1.149867,0.795930,1.455077,-0.167080,5.029328,0.482961,0.016073,-0.584113,-2.614319,0.706155,2.707053,1.367022,0.000026,0.000584,1.776928,1.505040,-0.747630,-0.061935,0.637422,2.607806,2.611152,-0.003644,-0.004244,-6.325199,-14.078285,10.347011,-6.983641,-11.704597,-0.010257,-0.016479,0.086461,0.117805,24.747658,-31.503750,3.320353,15.861800,-0.685373,12.000000,12.000000,0.284118,-0.700304,24.747658,-31.503750,3.320353,15.861800,-0.685373,12.760289,144.126312,0.284118,-0.700304,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,1.679260,0.606461,-1.177716,0.835375,1.468903,-0.489023,5.089016,0.540715,0.064493,-0.608569,-2.615143,0.721501,2.744072,1.453693,0.000000,0.000420,1.682121,1.158011,-0.598716,0.033902,0.448450,0.647612,2.610596,0.001012,-0.006289,-3.785870,-11.248011,8.547384,-0.932034,-3.862257,-22.927832,2.920160,0.196215,-0.139674,19.187138,-29.982788,3.656167,17.609528,-0.422805,0.771053,12.000000,0.225873,-0.654633,19.187138,-29.982788,3.656167,17.609528,-0.422805,0.771053,139.777527,0.225873,-0.654633,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,1.656354,0.595848,-1.262138,0.960377,1.512476,-0.404659,5.198942,0.602459,0.101992,-0.631097,-2.614418,0.741626,2.773961,1.540711,0.000022,0.000255,1.822226,0.837067,-0.574004,0.143009,0.500225,0.757172,2.610452,0.001108,-0.003851,-3.143341,-10.360085,6.449901,4.629166,-10.844475,-14.165514,-0.011458,-0.049493,0.116716,12.998014,-32.490906,1.897752,22.583714,-0.841807,1.999675,12.000000,-0.236503,-0.053063,12.998014,-32.490906,1.897752,22.583714,-0.841807,1.999675,137.018799,-0.236503,-0.053063,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,1.449382,0.588094,-1.452124,0.858765,1.494640,-0.499106,5.232745,0.668584,0.126677,-0.659108,-2.610547,0.745151,2.770726,1.627013,0.000036,0.000171,1.689277,0.385073,-0.528687,0.133740,0.123059,-0.162269,2.558519,0.002820,-0.003300,-25.790510,-14.372573,26.326660,-2.352343,-1.264946,-0.191018,0.919032,0.056858,-0.031790,-1.609535,-33.799458,-2.340406,17.841389,-0.290145,1.723208,12.000000,-0.211780,-0.164602,-1.609535,-33.799458,-2.340406,17.841389,-0.290145,1.723208,131.710541,-0.211780,-0.164602,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,1.481795,0.801069,-1.418364,0.955603,1.557698,-0.602502,5.276127,0.711821,0.142700,-0.664673,-2.601012,0.760564,2.742748,1.713120,0.000108,0.000094,1.129042,0.311107,-0.005520,0.427317,0.478903,-0.756729,2.610404,0.004373,-0.003426,-14.228038,-2.414494,12.808406,5.235754,-6.966061,11.703496,8.097552,0.068320,-0.019653,-1.611606,-25.682701,-2.715861,20.608660,-0.264872,2.094616,12.000000,-0.434430,0.029665,-1.611606,-25.682701,-2.715861,20.608660,-0.264872,2.094616,126.853943,-0.434430,0.029665,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,1.500986,0.720266,-1.511623,0.921072,1.480062,-0.386526,5.346474,0.754690,0.154165,-0.671488,-2.592666,0.753557,2.772215,1.799605,0.000135,0.000059,1.238082,0.101743,-0.206884,0.310904,-0.306078,1.006922,2.510661,-0.000619,0.000519,-12.335994,-7.178714,8.119966,2.487543,-2.467484,-7.085208,-5.987749,-0.197786,0.156593,-4.433880,-29.542253,-5.652826,18.705219,-0.500808,2.676765,12.000000,-0.597503,0.125746,-4.433880,-29.542253,-5.652826,18.705219,-0.500808,2.676765,122.166451,-0.597503,0.125746,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,1.469077,0.907228,-1.541821,0.879287,1.477671,-0.609468,5.418817,0.786921,0.162219,-0.676699,-2.577088,0.741874,2.747850,1.884264,0.000099,0.000081,0.773118,0.099243,-0.029827,0.545643,-0.110051,-0.839243,2.487017,0.002252,-0.001937,-15.133026,-0.561479,10.653059,0.488666,9.778072,6.424376,9.745673,0.100873,-0.104007,-7.240857,-22.328392,-6.737784,15.056637,0.549216,1.311566,12.000000,-0.225742,-0.177441,-7.240857,-22.328392,-6.737784,15.056637,0.549216,1.311566,119.415573,-0.225742,-0.177441,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,1.521867,0.819804,-1.495977,0.910916,1.466235,-0.563168,5.396426,0.804695,0.167222,-0.671097,-2.562717,0.736680,2.738078,1.970735,0.000129,0.000060,0.547172,-0.046960,0.107976,0.442295,-0.102624,-0.136470,2.547797,0.001399,-0.000776,-3.741477,-4.186347,0.102301,-2.175940,1.129086,7.159893,-0.878406,-0.046389,0.042419,-5.271168,-26.043962,-6.344701,15.285179,-0.011193,2.180034,12.000000,-0.467295,0.024595,-5.271168,-26.043962,-6.344701,15.285179,-0.011193,2.180034,110.686920,-0.467295,0.024595,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,1.631230,0.959410,-1.453872,0.830561,1.363061,-0.596659,5.408590,0.824639,0.170508,-0.672807,-2.551634,0.710115,2.730083,2.056977,0.000109,0.000071,0.591890,-0.036368,-0.050134,0.316734,-0.625868,-0.169507,2.486291,0.000255,-0.000311,-5.559725,-0.411487,5.312745,-4.245071,13.478332,5.270236,-3.711562,-0.058506,0.014904,-2.716278,-20.537716,-3.801745,11.400040,0.083360,1.458625,12.000000,-0.373107,-0.075474,-2.716278,-20.537716,-3.801745,11.400040,0.083360,1.458625,104.310150,-0.373107,-0.075474,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,1.562541,0.917335,-1.498188,0.828282,1.370808,-0.644610,5.449986,0.837602,0.172233,-0.670034,-2.544808,0.694689,2.715227,2.142975,0.000098,0.000087,0.375772,-0.108597,0.056332,0.172914,-0.255206,-0.414225,2.518366,0.001437,-0.000647,-4.504074,-1.923715,1.631772,-5.644849,8.993242,5.795306,2.737226,0.042251,-0.018751,-5.864396,-22.254848,-6.287756,11.064609,0.396724,1.403949,12.000000,-0.257905,-0.137402,-5.864396,-22.254848,-6.287756,11.064609,0.396724,1.403949,99.398476,-0.257905,-0.137402,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,1.618706,0.903969,-1.422239,0.964690,1.325979,-0.694413,5.430964,0.841176,0.173004,-0.661420,-2.538585,0.678240,2.692705,2.229101,0.000114,0.000081,0.151724,-0.095671,0.197626,0.249778,-0.326946,-0.580275,2.511341,0.001662,-0.000944,0.548547,0.695680,-1.637697,0.184284,9.448783,10.571354,0.465817,-0.021808,-0.000339,-3.017150,-22.736267,-4.502475,16.150511,0.136068,1.934892,12.000000,-0.409461,-0.083699,-3.017150,-22.736267,-4.502475,16.150511,0.136068,1.934892,91.621971,-0.409461,-0.083699,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,1.598980,0.721633,-1.492589,1.062235,1.269096,-0.482572,5.457926,0.849367,0.171594,-0.658496,-2.535522,0.657535,2.723352,2.315823,0.000145,0.000061,0.357136,-0.237766,-0.079012,0.180944,-0.561710,0.959002,2.521763,-0.000022,0.000714,0.129617,-4.433655,-4.143591,3.652262,6.112210,-8.782907,-4.924063,-0.073316,0.081384,-5.004898,-29.828812,-6.985712,20.181215,-0.072693,2.803061,12.000000,-0.441253,-0.024974,-5.004898,-29.828812,-6.985712,20.181215,-0.072693,2.803061,85.373825,-0.441253,-0.024974,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,1.564504,0.871448,-1.458427,0.881350,1.235356,-0.837824,5.439531,0.850458,0.166019,-0.657012,-2.525728,0.632744,2.672649,2.401971,0.000091,0.000116,-0.045672,-0.337131,0.104689,0.270051,-0.353722,-1.606524,2.530933,0.002491,-0.001126,-4.447254,-2.274080,3.801229,-7.192079,20.470205,16.395199,6.451392,0.088557,-0.073685,-5.704057,-23.006914,-5.725548,11.317828,0.877873,0.819853,12.000000,-0.243278,-0.258923,-5.704057,-23.006914,-5.725548,11.317828,0.877873,0.819853,78.469810,-0.243278,-0.258923,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,1.696572,0.894504,-1.388582,0.925237,1.179383,-0.628528,5.406109,0.852775,0.159661,-0.655173,-2.525995,0.613924,2.681020,2.488913,0.000139,0.000074,0.221733,-0.297979,-0.093596,0.001447,-0.533639,0.479690,2.576082,-0.000043,0.000142,3.315409,1.017669,-3.595488,-1.491709,4.039596,2.859356,-2.043442,-0.116789,0.049441,-0.821550,-21.493279,-3.029146,14.117158,-0.358917,2.314107,12.000000,-0.499512,-0.076343,-0.821550,-21.493279,-3.029146,14.117158,-0.358917,2.314107,69.445396,-0.499512,-0.076343,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,1.702769,0.875347,-1.372384,1.025478,1.103969,-0.746388,5.395720,0.854525,0.155063,-0.655510,-2.522113,0.582344,2.665182,2.575787,0.000104,0.000093,0.066066,-0.234765,-0.004088,0.223807,-0.656568,-0.536031,2.610080,0.000422,-0.000279,-0.648098,1.814024,2.175393,2.164802,18.842102,5.526201,3.821769,-0.029393,-0.003869,-0.552433,-22.016979,-2.235271,17.440048,0.359041,1.657701,12.000000,-0.316443,-0.165028,-0.552433,-22.016979,-2.235271,17.440048,0.359041,1.657701,62.340618,-0.316443,-0.165028,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,1.820544,0.929373,-1.290676,1.069470,1.086870,-0.620061,5.458065,0.857663,0.154332,-0.653275,-2.516672,0.564541,2.681295,2.662794,0.000127,0.000078,0.219380,-0.072833,-0.010658,0.300880,-0.426283,0.500104,2.610174,0.000648,0.000095,3.000194,4.474758,-0.495418,5.672851,6.043210,-4.360124,0.004563,0.004006,0.005567,3.728076,-20.075748,0.695346,18.751984,-0.263590,2.147919,12.000000,-0.314778,-0.150628,3.728076,-20.075748,0.695346,18.751984,-0.263590,2.147919,57.618919,-0.314778,-0.150628,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
