Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,2.280302,6.202298,2.613222,2.861217,-0.900048,-1.474950,1.761275,0.038191,-0.464142,0.047309,-2.584863,-0.079566,2.001629,0.502275,0.032323,0.033196,1.836315,2.169492,2.178085,2.165148,-2.600179,2.611406,2.612240,-0.198317,-0.198781,-17.742861,0.146599,88.218605,1.500420,0.915685,82.091698,-0.308104,0.653316,0.515347,81.398285,87.000000,87.000000,87.000000,-12.000000,12.000000,12.000000,-50.354126,-52.290688,81.398285,233.959946,100.683853,90.664429,-22.484972,22.321480,82.563881,-50.354126,-52.290688,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-1.502880,5.164633,-1.736499,1.905921,1.444864,-1.122882,1.428508,0.070801,-0.389634,0.070366,-2.514271,0.005955,2.088605,0.587077,0.025760,0.026625,0.480219,2.208357,-0.478726,2.178175,2.601828,2.608963,2.361569,-0.207501,-0.200416,-32.998653,-0.074544,-73.974625,-0.497074,-0.700021,0.069308,16.505369,-1.324684,-0.330293,-68.901802,87.000000,-78.116333,46.674625,12.000000,12.000000,12.000000,-39.911339,-40.452766,-68.901802,186.383636,-78.116333,46.674625,50.358097,24.002783,64.539726,-39.911339,-40.452766,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.948398,4.856687,1.001508,0.208998,0.340651,-2.491264,1.436912,0.084532,-0.319602,0.080416,-2.457025,0.080856,2.012357,0.674218,0.019201,0.020188,0.512821,2.029537,0.760428,1.115648,2.156168,-2.610185,2.612336,-0.188116,-0.200592,8.095657,0.862999,26.068792,-44.247742,-25.565699,-17.996548,-0.071039,0.971901,-0.938179,30.239843,87.000000,33.089931,-25.488327,-0.129704,-11.896363,12.000000,-24.259609,-28.581884,30.239843,169.054077,33.089931,-25.488327,-0.129704,-11.896363,55.848930,-24.259609,-28.581884,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.069805,3.165880,0.091888,1.634815,0.307211,-0.489564,1.173916,0.099179,-0.245301,0.102982,-2.426233,0.118956,2.068814,0.761159,0.012726,0.013378,0.300380,2.230861,0.654899,1.508570,0.300541,0.421909,2.609592,-0.197769,-0.201442,-6.113074,-0.283656,-4.693043,14.231421,-24.797041,20.150743,0.050583,-0.494171,0.252967,-6.272644,87.000000,-6.606454,31.043346,0.814967,12.000000,12.000000,-13.109982,-12.925158,-6.272644,94.769455,-6.606454,31.043346,0.814967,59.879097,38.387943,-13.109982,-12.925158,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,-0.407527,2.648596,-0.751963,0.498221,0.604120,-0.515061,0.987643,0.156068,-0.172580,0.060769,-2.415162,0.198530,2.155840,0.848099,0.006807,0.007445,1.445336,2.183850,-1.549824,-0.032659,2.300821,2.612990,2.605201,-0.135456,-0.133867,-29.675158,0.042415,-6.954989,-30.503174,-16.330217,0.070968,-0.081553,3.275754,3.850274,-34.153355,68.410866,-31.392963,-13.485227,1.240979,12.000000,12.000000,0.128214,-0.304068,-34.153355,68.410866,-31.392963,-13.485227,1.240979,42.926964,23.984867,0.128214,-0.304068,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.281984,1.266017,0.394159,1.716531,-0.053202,0.137775,0.717738,0.116579,-0.098246,0.092131,-2.395154,0.125002,2.208107,0.934975,0.003628,0.004009,-1.220451,2.222770,1.057802,1.195336,-2.612244,0.340739,2.611462,-0.066263,-0.080902,24.470278,-0.196295,-13.952586,15.190901,0.040870,29.031603,-0.007339,1.361163,1.293948,6.580265,7.040890,4.870814,32.718697,-4.994965,12.000000,6.227951,-0.923951,-0.905259,6.580265,7.040890,4.870814,32.718697,-4.994965,74.669472,6.227951,-0.923951,-0.905259,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.588898,-0.728347,0.091030,0.481884,-0.171302,1.128971,0.447009,0.159365,-0.066576,0.047343,-2.420924,0.037864,2.295151,0.949240,0.001938,0.002097,1.081192,-0.175037,-1.159540,-1.919874,-2.420580,2.608588,0.267327,-0.035575,-0.042673,-27.714928,-66.440910,25.578030,-77.029144,15.630540,-0.115814,-6.739068,0.964159,0.801000,6.324423,-72.567856,4.399570,-11.254248,-2.648742,12.000000,0.121326,-0.123261,-0.217504,6.324423,-72.567856,4.399570,-11.254248,-2.648742,97.544342,0.121326,-0.123261,-0.217504,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.008667,0.642553,-0.216331,2.243959,0.160273,1.038980,0.591651,0.168568,-0.045833,0.031626,-2.434273,0.032273,2.302931,0.990880,0.001130,0.001008,0.075939,1.098121,-0.394807,1.162295,0.021312,-2.607629,0.938732,-0.017888,-0.023955,-9.179092,34.419487,1.500526,69.065933,15.306717,0.129004,-20.942076,0.504701,0.382193,-13.829489,-17.007120,-10.062001,59.920448,5.362587,12.000000,-0.006591,-0.292159,0.067806,-13.829489,-17.007120,-10.062001,59.920448,5.362587,110.973404,-0.006591,-0.292159,0.067806,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.868015,-0.420685,0.630160,0.606248,-0.461216,1.406628,0.663666,0.138820,-0.037206,0.058252,-2.454415,-0.048141,2.389180,1.030796,0.000665,0.000471,-0.606247,-0.575858,0.754482,-1.381369,-2.611060,2.519701,0.844760,-0.010119,-0.011274,24.001732,-47.032024,-8.633751,-54.221066,1.137500,-5.365004,-19.598495,0.098707,0.416681,26.588589,-60.410583,18.043541,-3.738028,-7.598241,12.000000,-0.022130,-0.546737,0.443104,26.588589,-60.410583,18.043541,-3.738028,-7.598241,101.101234,-0.022130,-0.546737,0.443104,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.280175,0.900673,-0.239121,2.016767,0.093236,0.743828,0.581791,0.191262,-0.028273,0.011978,-2.457690,-0.028298,2.411730,1.031206,0.000418,0.000194,1.267260,0.788342,-1.126644,1.334285,0.691399,-1.970457,0.034313,-0.009872,-0.002693,-30.189096,38.513393,25.638348,66.364281,-0.714476,-20.533245,0.903150,-0.102252,0.268766,-9.195716,-7.003786,-6.064176,52.191090,4.711143,12.000000,0.036942,-0.318158,0.157942,-9.195716,-7.003786,-6.064176,52.191090,4.711143,87.000916,0.036942,-0.318158,0.157942,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
