Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,0.986184,4.274963,1.883625,1.292627,0.377853,-1.120256,-0.782948,-0.014908,-0.471301,0.062403,-2.616130,0.074319,2.000088,0.385702,0.032188,0.033076,0.418286,2.210689,2.182078,1.586619,1.939414,1.353232,-0.657281,-0.206433,-0.206253,70.534134,13.308863,-0.337114,19.550156,-22.511120,44.861725,15.015384,0.172267,0.131240,43.506981,87.000000,64.512489,32.740227,3.016633,12.000000,-0.267024,-50.346581,-52.208107,43.506981,158.168182,64.512489,32.740227,3.016633,38.777302,-0.267024,-50.346581,-52.208107,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.730094,2.775815,1.433303,1.507194,-0.083280,-1.278389,-1.759582,0.015106,-0.397624,0.134826,-2.555166,0.024431,2.084894,0.298702,0.026011,0.026775,1.364552,2.175567,2.185063,2.148405,-1.651553,2.613345,-2.607227,-0.167479,-0.170819,21.325928,-2.639651,0.238652,4.001727,30.372932,46.354435,0.035348,2.073516,2.045074,25.417246,87.000000,40.740479,34.231831,0.748772,12.000000,-12.000000,-37.416565,-38.771027,25.417246,91.375969,40.740479,34.231831,0.748772,21.154316,-28.044607,-37.416565,-38.771027,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.386233,3.140352,0.776642,0.884106,-0.441690,-1.607169,-2.513741,0.055457,-0.325038,0.207399,-2.490837,-0.063570,2.159428,0.211758,0.020741,0.021048,1.252004,2.173412,2.177967,1.934110,-2.627240,1.603490,-2.609174,-0.157237,-0.167199,-3.866815,-0.176082,-0.019011,-7.927615,-0.588055,-36.317417,-0.003247,0.058672,0.542980,7.323400,87.000000,8.668970,4.046722,-5.652895,-0.218100,-12.000000,-30.911999,-30.041584,7.323400,100.292114,8.668970,4.046722,-5.652895,-0.218100,-51.250664,-30.911999,-30.041584,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,-0.089483,2.915340,-0.324601,0.852258,-1.014049,-1.885685,-3.617190,0.147957,-0.252187,0.199384,-2.436496,-0.153720,2.141902,0.124780,0.014761,0.015209,2.846907,2.205366,-1.113755,1.442360,-2.627765,-0.859130,-2.611920,-0.193155,-0.182689,-9.274248,-0.152035,-62.734032,-27.442709,1.589026,5.526749,-0.026851,-1.692450,-0.862738,-23.529991,85.312988,-29.968683,-1.505450,-12.000000,-1.084137,-12.000000,-19.478558,-19.678955,-23.529991,85.312988,-29.968683,-1.505450,-21.164192,-1.084137,-88.426208,-19.478558,-19.678955,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,-0.261524,2.273472,-0.950921,0.839024,-1.378774,-1.850718,-4.416813,0.241025,-0.181042,0.127579,-2.406712,-0.241376,2.133873,0.037699,0.008323,0.009040,2.148129,2.215967,-2.178915,0.836521,-2.612324,-0.191901,-2.611690,-0.167788,-0.166463,-46.804615,-0.223989,-0.035162,-12.710058,-0.373535,6.662548,0.029054,1.752498,1.153609,-38.230934,53.847019,-42.436886,-1.863444,-12.000000,-0.771218,-12.000000,-3.239090,-5.647293,-38.230934,53.847019,-42.436886,-1.863444,-28.932549,-0.771218,-113.442932,-3.239090,-5.647293,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,-0.181663,1.683211,-1.025053,1.085103,-1.550466,-1.551908,-4.974474,0.289311,-0.107006,0.054965,-2.394437,-0.328086,2.194118,-0.049373,0.004288,0.005027,0.963338,2.217296,-2.177682,0.434762,-2.638532,1.497820,-2.610952,-0.084553,-0.090204,-31.040827,-0.434432,-0.070209,-2.138784,-1.448293,-27.065189,0.047278,2.306634,1.546164,-34.773811,24.430174,-39.599430,8.702949,-12.000000,0.044302,-12.000000,0.470631,-1.992124,-34.773811,24.430174,-39.599430,8.702949,-28.852123,0.044302,-128.783203,0.470631,-1.992124,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,-0.007740,1.234262,-0.668172,0.960154,-1.603837,-1.473003,-5.521071,0.306574,-0.033778,-0.016018,-2.390948,-0.416601,2.252688,-0.136371,0.002211,0.002799,0.063550,2.192377,-1.965115,0.127914,-2.647748,1.195034,-2.610158,-0.046176,-0.047241,-29.166840,-0.339146,10.781778,-5.759742,-0.039482,-31.086864,0.013919,1.014167,1.077659,-26.623119,0.686383,-19.646137,4.050421,-12.000000,-0.940996,-12.000000,0.156481,-0.972872,-26.623119,0.686383,-19.646137,4.050421,-23.796263,-0.940996,-143.690857,0.156481,-0.972872,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.474448,0.298283,0.443092,1.458989,-1.685799,-0.868339,-6.222602,0.204477,0.021558,0.036693,-2.394575,-0.498597,2.339630,-0.223170,0.001077,0.001609,-2.641317,1.122147,1.603846,-0.000722,-2.499812,2.606648,-2.610971,-0.022811,-0.028673,42.763180,-45.992435,1.742298,1.600260,-0.097647,-0.057592,-2.163191,0.757861,0.239753,12.235884,-41.172005,10.822855,25.102306,-12.000000,12.000000,-12.000000,0.487262,-1.040991,12.235884,-41.172005,10.822855,25.102306,-20.819267,14.104806,-164.953094,0.487262,-1.040991,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.286436,0.125650,0.738023,1.154133,-1.815421,-0.710366,-6.795400,0.110033,0.041245,0.108873,-2.407871,-0.582302,2.426741,-0.310178,0.000616,0.000925,-2.646778,0.115136,2.165062,-0.563300,-2.528919,2.608787,-2.610231,-0.010032,-0.014491,16.804102,-27.424088,-0.253658,-13.119459,0.744452,-0.051270,-0.011773,0.225108,0.329696,10.767089,-45.610954,15.016746,14.677598,-12.000000,12.000000,-12.000000,-0.248902,-0.422669,10.767089,-45.610954,15.016746,14.677598,-19.197607,13.451661,-180.762222,-0.248902,-0.422669,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.109458,0.171203,0.704041,1.365363,-1.935512,-0.576969,-7.084637,0.029406,0.042398,0.178420,-2.424728,-0.665189,2.513718,-0.397205,0.000383,0.000628,-2.045971,-0.211906,1.807535,-0.375944,-2.503632,2.604309,-2.610749,-0.004948,-0.005096,27.968071,-8.722469,-21.247650,5.445229,-0.032101,-0.038023,0.004606,0.144756,0.205111,9.020844,-41.850346,7.923701,25.040218,-12.000000,11.842822,-12.000000,-0.214702,-0.639670,9.020844,-41.850346,7.923701,25.040218,-17.510992,11.842822,-185.366791,-0.214702,-0.639670,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
