Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,1.703477,2.881047,0.661861,0.878795,0.504090,0.512098,1.072036,0.056849,-0.476456,-0.015508,-2.629321,0.083231,1.989120,0.502310,0.032289,0.033194,1.825114,2.195017,0.085808,0.979260,2.605691,1.190974,2.612445,-0.200408,-0.199610,-0.235441,20.052845,36.801598,6.615386,-0.017867,44.641842,0.020356,0.537254,0.568372,58.701900,87.000000,29.536255,18.172642,6.644812,12.000000,12.000000,-50.342171,-52.159744,58.701900,103.290428,29.536255,18.172642,6.644812,105.144081,55.010422,-50.342171,-52.159744,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.681801,1.844599,0.218508,0.892278,0.016083,0.880992,0.428330,0.124543,-0.403130,-0.016205,-2.599056,0.056429,2.051610,0.589259,0.025489,0.026388,2.006678,2.194014,0.142698,1.110849,-1.291670,1.391259,2.611743,-0.204306,-0.204478,-1.427150,-0.211358,6.590198,-5.833575,5.850970,38.225780,0.076847,-0.112611,-0.182307,11.861254,54.650284,9.963580,15.183586,0.003551,12.000000,12.000000,-37.564796,-39.473175,11.861254,54.650284,9.963580,15.183586,0.003551,113.785019,22.311790,-37.564796,-39.473175,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.147645,1.386316,-0.004344,0.830123,-0.478629,0.928382,-0.374502,0.149157,-0.329993,0.013575,-2.570875,-0.028861,2.123127,0.573114,0.018870,0.019759,0.137566,2.192239,1.248990,0.951059,-2.612334,1.680007,-0.403275,-0.192757,-0.192280,-30.067493,-0.029798,12.538669,-6.930234,0.020328,9.831990,10.023135,0.625060,0.688924,-8.202450,30.485149,-3.851976,10.871480,-9.834395,12.000000,0.108780,-23.866379,-25.570278,-8.202450,30.485149,-3.851976,10.871480,-9.834395,107.096069,0.108780,-23.866379,-25.570278,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,-0.027551,0.830891,0.456999,0.769335,-1.154534,1.064886,-1.806386,0.112049,-0.256995,0.085454,-2.551093,-0.115097,2.200125,0.486091,0.012537,0.013431,-1.275023,2.188879,2.177596,0.633610,-2.610855,1.959725,-2.610548,-0.185634,-0.185215,-9.508866,-0.016623,0.034947,-8.668398,-0.010285,1.503482,0.016837,0.462512,0.495432,-7.238508,2.439791,5.639739,7.646983,-12.000000,12.000000,-12.000000,-11.942842,-13.701380,-7.238508,2.439791,5.639739,7.646983,-30.003372,104.895874,-44.899345,-11.942842,-13.701380,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,-0.474775,0.360625,1.043891,0.719670,-2.194297,1.130166,-3.981873,0.057128,-0.191063,0.158027,-2.546645,-0.202285,2.280846,0.399072,0.006979,0.007630,-1.854272,1.744952,2.176710,0.007255,-2.614056,2.091076,-2.610678,-0.127085,-0.138199,-10.727333,-11.050164,0.069852,-15.475213,-0.085487,-10.001720,0.073614,2.853557,2.867443,-19.224827,-21.007454,23.315294,6.653151,-12.000000,12.000000,-12.000000,-1.419518,-2.056618,-19.224827,-21.007454,23.315294,6.653151,-64.632477,99.847702,-124.952805,-1.419518,-2.056618,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,-0.539707,0.250563,1.460679,0.860945,-2.847388,1.161308,-5.340481,-0.007479,-0.137372,0.230785,-2.555254,-0.288679,2.349955,0.312085,0.003795,0.004263,-1.996836,1.347224,2.182195,-0.222028,-2.615558,1.331877,-2.610049,-0.070681,-0.070753,-3.419502,-12.023313,0.090766,-8.378134,-0.024762,-7.982583,0.010571,1.390009,1.754420,-15.866131,-28.679207,34.153103,13.940660,-12.000000,12.000000,-12.000000,-0.941110,-1.324980,-15.866131,-28.679207,34.153103,13.940660,-83.777969,98.279709,-172.344864,-0.941110,-1.324980,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,-0.783215,0.110972,1.298789,0.983551,-2.982948,0.994368,-5.922451,-0.075857,-0.098395,0.303784,-2.570109,-0.373795,2.409464,0.225075,0.002036,0.002532,-2.061712,0.844883,2.188425,-0.284992,-2.617250,0.716777,-2.609889,-0.038672,-0.035986,-2.007594,-15.168571,0.113554,-3.068238,-0.022416,-5.358753,0.001588,0.771828,0.910109,-19.912540,-36.206455,21.824438,20.449827,-12.000000,12.000000,-12.000000,-0.433789,-1.380260,-19.912540,-36.206455,21.824438,20.449827,-82.335793,89.105415,-188.665161,-0.433789,-1.380260,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,-0.947907,0.279097,1.278409,1.010574,-2.965691,0.814821,-6.308609,-0.146287,-0.071463,0.376949,-2.584698,-0.458141,2.466488,0.138044,0.001091,0.001620,-2.087407,0.588334,2.192846,-0.165982,-2.616700,0.600515,-2.609992,-0.019629,-0.019348,-0.853429,-8.087972,0.096731,3.325542,-0.026994,-0.462567,-0.002031,0.482184,0.421574,-20.750862,-30.538458,15.142973,22.738409,-12.000000,12.000000,-12.000000,-0.209134,-1.374736,-20.750862,-30.538458,15.142973,22.738409,-74.880997,78.078789,-197.149445,-0.209134,-1.374736,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,-1.132833,0.341478,1.159080,1.081374,-2.870198,0.545823,-6.580573,-0.218028,-0.051160,0.450241,-2.593010,-0.541786,2.530538,0.051198,0.000619,0.001108,-2.110396,0.425414,2.197784,0.094437,-2.616958,0.846324,-2.610102,-0.008046,-0.011839,-0.519504,-5.575481,0.068307,7.926912,-0.029569,3.417434,-0.001945,0.320743,0.164948,-22.339565,-29.083710,4.488730,25.810600,-12.000000,12.000000,-12.000000,-0.269486,-1.214141,-22.339565,-29.083710,4.488730,25.810600,-64.349312,61.768772,-201.072708,-0.269486,-1.214141,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,-1.214735,0.481373,1.179770,1.047724,-2.778576,0.325637,-6.837536,-0.288599,-0.034221,0.521405,-2.592679,-0.625538,2.604449,-0.035702,0.000440,0.000776,-1.957352,0.370962,1.994977,0.307021,-2.617451,1.440268,-2.610232,-0.001010,-0.008391,10.539858,-2.471525,-12.153954,6.985243,-0.091825,6.384100,-0.005035,0.223031,0.053635,-19.717438,-24.516848,-0.547050,23.866810,-12.000000,12.000000,-12.000000,-0.510454,-0.941296,-19.717438,-24.516848,-0.547050,23.866810,-54.000320,45.272942,-204.401459,-0.510454,-0.941296,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
