Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
121,0.860306,-0.902108,-1.476914,2.957979,-1.435620,-1.734520,2.940218,0.903427,0.028661,-0.695867,-2.372612,0.434589,2.337313,2.810304,0.000211,0.000096,-1.439701,-1.089932,1.313472,2.090210,-2.409310,-2.606598,-2.609975,0.009075,-0.000369,12.649462,-31.779018,-11.075534,38.856617,-8.966559,0.462785,0.027709,0.436182,0.059909,-33.298504,-82.613945,-7.558134,79.945473,-12.000000,-6.431910,-12.000000,-0.250673,-0.104665,-33.298504,-82.613945,-7.558134,79.945473,-86.230492,-6.431910,-40.974213,-0.250673,-0.104665,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
122,0.879942,-0.353871,-1.185421,2.296449,-1.666642,-1.839247,2.715189,0.837796,-0.016539,-0.630619,-2.302597,0.351513,2.250418,2.723305,0.000275,0.000193,-1.734546,-1.825529,1.806154,2.125961,-2.516161,-2.607300,-2.610018,0.002118,0.003092,15.698074,-18.790182,-11.580469,-0.049539,-0.341964,-0.063057,-0.006766,-0.064148,-0.007410,-26.279345,-54.342716,-2.482565,45.564224,-12.000000,-3.694551,-12.000000,-0.822764,-0.604212,-26.279345,-54.342716,-2.482565,45.564224,-88.076935,-3.694551,-43.017181,-0.822764,-0.604212,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
123,0.623958,0.871880,-1.238780,1.239814,-1.369522,-2.250304,2.768363,0.789406,-0.063148,-0.584225,-2.240566,0.263964,2.163475,2.636301,0.000340,0.000207,-1.377980,-1.287030,1.211158,1.723858,-2.614860,-2.610502,-2.610119,0.004332,-0.001838,3.633449,14.385073,-11.239421,-14.074272,-0.378871,0.019341,0.001616,0.116312,-0.243142,-34.327095,-1.189724,-6.680785,-1.462217,-12.000000,-12.000000,-12.000000,-0.825632,-0.687777,-34.327095,-1.189724,-6.680785,-1.462217,-68.975121,-13.164299,-33.929115,-0.825632,-0.687777,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
124,0.654400,0.866007,-1.217482,1.273914,-1.189482,-2.299094,2.791712,0.741904,-0.096104,-0.547771,-2.195828,0.176113,2.076549,2.549298,0.000436,0.000067,-1.395688,-0.904242,0.936990,1.173834,-2.599530,-2.610405,-2.610083,0.004466,-0.005091,0.537386,10.430148,-9.703101,-17.613844,0.840297,0.009613,0.000815,-0.017483,-0.058881,-29.445387,-0.082888,-7.925375,-2.450630,-12.000000,-8.162257,-12.000000,-1.259417,0.123053,-29.445387,-0.082888,-7.925375,-2.450630,-54.728004,-8.162257,-26.035101,-1.259417,0.123053,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
125,0.979172,0.675197,-0.912080,1.487595,-0.964792,-2.259331,2.808326,0.673323,-0.120366,-0.497182,-2.169172,0.089181,1.996584,2.462293,0.000502,0.000000,-1.960169,-0.702345,1.394401,0.692978,-2.573419,-2.109437,-2.609885,0.004303,-0.004895,6.144340,5.088941,-9.056847,-16.302784,1.100378,30.072481,0.010128,0.026239,0.020486,-9.121562,-6.651244,-0.963862,5.272057,-12.000000,0.351055,-12.000000,-1.319365,0.523636,-9.121562,-6.651244,-0.963862,5.272057,-38.825325,0.351055,-18.410286,-1.319365,0.523636,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
126,1.165311,0.364665,-0.701913,1.705688,-0.738565,-2.141257,2.874457,0.608801,-0.143577,-0.450474,-2.160924,0.003698,1.972045,2.375297,0.000539,0.000000,-1.526688,-0.745654,1.061048,0.281682,-2.563861,-0.555520,-2.609876,0.001900,-0.005258,31.487165,-0.390136,-28.300537,-6.533696,-0.612359,14.347342,-0.002789,-0.050237,-0.025855,3.848532,-17.435429,3.419502,14.961168,-12.000000,2.087136,-8.806193,-1.354345,0.482749,3.848532,-17.435429,3.419502,14.961168,-23.064489,2.087136,-8.806193,-1.354345,0.482749,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
127,1.289139,0.451251,-0.513515,1.824396,-0.451438,-2.104959,2.891386,0.562672,-0.163171,-0.416966,-2.154764,-0.081868,1.966984,2.291465,0.000562,0.000000,-1.045973,-0.516015,0.798545,0.425798,-2.558098,-0.237740,-2.124771,0.002776,-0.005111,26.187735,6.473082,-18.712631,5.018756,-0.604992,3.491287,29.094999,0.019778,-0.022467,10.899403,-12.632330,9.532265,19.488039,-4.746007,2.457164,-1.169756,-1.344181,0.473637,10.899403,-12.632330,9.532265,19.488039,-4.746007,2.457164,-1.169756,-1.344181,0.473637,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,1.185372,0.438678,-0.529866,1.684264,-0.176109,-2.193523,2.982880,0.528283,-0.177794,-0.389828,-2.150652,-0.098848,1.951576,2.262011,0.000384,0.000000,-0.748124,-0.431135,0.633314,0.201777,0.011693,-0.655956,-0.602368,-0.006386,-0.000735,21.882952,2.002963,-16.056517,-5.680425,16.720072,2.345595,15.128806,-0.434253,0.283332,8.451670,-12.454201,7.307210,13.535687,1.800133,1.164224,0.115105,-1.138116,0.545690,8.451670,-12.454201,7.307210,13.535687,1.800133,1.164224,0.115105,-1.138116,0.545690,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
129,0.951878,0.273444,-0.674374,1.788122,-0.204336,-2.144540,2.909117,0.505176,-0.191066,-0.371629,-2.152187,-0.104388,1.947995,2.230139,0.000216,0.000005,-0.568308,-0.400423,0.433425,0.104042,-0.150800,-0.182426,-0.702937,-0.002359,0.000101,10.582637,1.289735,-10.746150,-1.046874,1.100030,2.819366,16.360952,0.136533,0.001342,-0.180127,-18.130390,0.926554,18.329596,0.586528,2.208242,0.050131,-0.109060,-0.010935,-0.180127,-18.130390,0.926554,18.329596,0.586528,2.208242,0.050131,-0.109060,-0.010935,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.071139,0.382021,-0.557222,1.810090,-0.114383,-2.149411,2.880471,0.490344,-0.200237,-0.360532,-2.152704,-0.089281,1.945318,2.206461,0.000143,0.000031,-0.318434,-0.204614,0.272747,0.221288,0.489629,-0.248886,-0.509667,-0.000613,0.000322,9.781644,5.563395,-6.322887,3.869750,-5.407902,0.456388,12.252974,0.029171,0.010693,5.066632,-13.334138,5.405512,19.217365,0.919863,2.250144,0.048642,-0.236016,-0.045227,5.066632,-13.334138,5.405512,19.217365,0.919863,2.250144,0.048642,-0.236016,-0.045227,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
