Timestep,agent_joint_pos_J1,agent_joint_pos_J2,agent_joint_pos_J3,agent_joint_pos_J4,agent_joint_pos_J5,agent_joint_pos_J6,agent_joint_pos_J7,joint_pos_J1,joint_pos_J2,joint_pos_J3,joint_pos_J4,joint_pos_J5,joint_pos_J6,joint_pos_J7,joint_pos_J8,joint_pos_J9,joint_vel_J1,joint_vel_J2,joint_vel_J3,joint_vel_J4,joint_vel_J5,joint_vel_J6,joint_vel_J7,joint_vel_J8,joint_vel_J9,joint_acc_J1,joint_acc_J2,joint_acc_J3,joint_acc_J4,joint_acc_J5,joint_acc_J6,joint_acc_J7,joint_acc_J8,joint_acc_J9,joint_applied_torque_J1,joint_applied_torque_J2,joint_applied_torque_J3,joint_applied_torque_J4,joint_applied_torque_J5,joint_applied_torque_J6,joint_applied_torque_J7,joint_applied_torque_J8,joint_applied_torque_J9,joint_computed_torque_J1,joint_computed_torque_J2,joint_computed_torque_J3,joint_computed_torque_J4,joint_computed_torque_J5,joint_computed_torque_J6,joint_computed_torque_J7,joint_computed_torque_J8,joint_computed_torque_J9,joint_effort_limits_J1,joint_effort_limits_J2,joint_effort_limits_J3,joint_effort_limits_J4,joint_effort_limits_J5,joint_effort_limits_J6,joint_effort_limits_J7,joint_effort_limits_J8,joint_effort_limits_J9,joint_effort_target_J1,joint_effort_target_J2,joint_effort_target_J3,joint_effort_target_J4,joint_effort_target_J5,joint_effort_target_J6,joint_effort_target_J7,joint_effort_target_J8,joint_effort_target_J9
0,0.153212,0.504674,0.215583,0.999759,-0.141528,-0.739379,-0.464979,0.001748,-0.513414,0.006598,-2.641458,-0.036756,1.990310,0.460300,0.032193,0.033046,0.072116,1.059016,0.384152,0.754528,-1.266094,0.781340,0.988885,-0.205968,-0.206217,0.017017,28.128117,11.426058,18.058290,17.233385,18.082476,-23.844826,0.205776,0.194751,5.764193,14.482217,7.726433,25.065332,1.896120,12.000000,-0.151294,-50.331825,-52.046494,5.764193,14.482217,7.726433,25.065332,1.896120,54.775650,-0.151294,-50.331825,-52.046494,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,-0.293889,-0.023408,0.343904,1.132471,-0.140647,-1.018139,-1.336789,-0.050181,-0.478398,0.064439,-2.622296,-0.056250,2.066335,0.373268,0.025467,0.026261,-2.052897,1.095627,2.182325,1.022813,-0.693097,1.475823,-2.609329,-0.196991,-0.199538,-23.295727,0.414362,20.377657,8.339159,4.674815,11.917218,0.057964,0.507621,0.380321,-3.768716,-11.125685,4.074184,27.633972,1.218416,12.000000,-12.000000,-36.973183,-38.613533,-3.768716,-11.125685,4.074184,27.633972,1.218416,34.914040,-17.092510,-36.973183,-38.613533,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-0.247035,0.276290,0.660247,0.941103,-0.317137,-1.130269,-3.212768,-0.114935,-0.437234,0.137071,-2.594591,-0.107590,2.152802,0.287017,0.019062,0.019694,-1.807624,1.344629,2.183926,1.012657,-1.291412,2.610801,-2.579403,-0.188066,-0.193900,8.326320,5.888865,0.200515,-1.331377,29.082741,15.817508,-7.027688,0.427261,0.292922,4.585496,-2.743664,9.635404,17.416435,0.953736,12.000000,-12.000000,-24.889565,-25.985538,4.585496,-2.743664,9.635404,17.416435,0.953736,19.618484,-85.812363,-24.889565,-25.985538,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,-0.333747,0.213406,0.520666,0.982533,-0.402477,-1.090819,-4.853913,-0.162692,-0.390534,0.200463,-2.565699,-0.158461,2.239852,0.200608,0.012817,0.013188,-0.955067,1.421731,1.523061,0.960703,-1.114055,2.610400,-2.609638,-0.186249,-0.194312,27.351599,1.476266,-21.259396,-3.645200,27.027096,-0.005307,-4.147667,0.083477,0.071552,3.641498,-9.433546,-0.361363,16.806547,1.003402,12.000000,-12.000000,-13.090506,-13.308609,3.641498,-9.433546,-0.361363,16.806547,1.003402,13.179604,-144.241562,-13.090506,-13.308609,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,-0.318872,0.249522,0.372742,1.020176,-0.313902,-1.081229,-5.976259,-0.164785,-0.340768,0.224383,-2.541196,-0.166049,2.326884,0.113637,0.007195,0.007117,0.431898,1.487081,0.235289,0.807527,0.062945,2.608378,-2.610851,-0.130578,-0.144380,22.991096,0.608833,-23.092537,-3.867477,8.168903,-0.055633,-0.031672,2.827906,2.984009,0.588110,-12.168938,-4.976549,16.751432,0.970893,6.603068,-12.000000,-1.674746,-0.425343,0.588110,-12.168938,-4.976549,16.751432,0.970893,6.603068,-181.899918,-1.674746,-0.425343,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,-0.292863,0.235187,0.299862,1.098384,-0.209076,-1.078634,-6.373244,-0.139069,-0.290852,0.220203,-2.518860,-0.143801,2.401010,0.026644,0.004002,0.003597,0.800786,1.419782,-0.222152,0.849028,0.637046,1.565593,-2.610784,-0.070692,-0.076203,-3.220178,-3.470678,-1.626963,2.803205,-11.185691,-39.136951,-0.009570,1.437276,1.723389,-2.893803,-16.780350,-5.131369,18.350044,0.756776,1.496655,-12.000000,-1.277669,0.347480,-2.893803,-16.780350,-5.131369,18.350044,0.756776,1.496655,-190.819107,-1.277669,0.347480,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,-0.161655,0.224287,0.213451,0.984061,-0.112797,-1.124226,-6.713920,-0.093354,-0.246977,0.193325,-2.500632,-0.107048,2.433975,-0.060341,0.002247,0.001797,1.235917,1.131350,-0.767037,0.553219,0.984129,0.478197,-2.610707,-0.039980,-0.037678,-16.448271,-9.958362,9.117707,-8.876216,-15.832775,-20.504852,-0.024605,0.748856,0.956549,-3.188635,-20.325073,-4.404716,12.445333,0.493224,0.983297,-12.000000,-0.778523,0.292859,-3.188635,-20.325073,-4.404716,12.445333,0.493224,0.983297,-197.488663,-0.778523,0.292859,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,-0.027935,0.195727,0.132404,1.059278,-0.084645,-1.074753,-7.088420,-0.039319,-0.212336,0.153016,-2.492391,-0.078159,2.456836,-0.147353,0.001265,0.000911,1.318201,0.856052,-1.003504,0.287821,0.668036,0.377614,-2.610697,-0.021653,-0.018779,-25.870569,-9.301703,18.916954,-5.993263,-15.636380,-12.691776,0.003848,0.500540,0.428652,-2.937814,-23.459145,-3.219125,15.669794,0.139156,1.869844,-12.000000,-0.353558,0.025584,-2.937814,-23.459145,-3.219125,15.669794,0.139156,1.869844,-205.506088,-0.353558,0.025584,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.105858,0.220795,0.088979,1.111743,-0.053292,-1.037465,-7.359347,0.012276,-0.185247,0.110965,-2.490247,-0.056121,2.475656,-0.234363,0.000734,0.000468,1.214374,0.667230,-0.987563,0.161377,0.530246,0.281118,-2.610607,-0.011993,-0.009136,-26.148125,-6.269849,21.778685,-2.207290,-11.776192,-10.580377,-0.019026,0.272176,0.203359,-1.470791,-23.937185,-1.454035,18.155302,0.220259,2.234174,-12.000000,-0.259284,-0.058335,-1.470791,-23.937185,-1.454035,18.155302,0.220259,2.234174,-209.384048,-0.259284,-0.058335,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.205085,0.229059,0.028257,1.128583,-0.030228,-1.024093,-7.692856,0.059812,-0.163765,0.070457,-2.490774,-0.039257,2.487911,-0.321370,0.000445,0.000249,1.105572,0.509691,-0.935700,0.094077,0.420762,0.119755,-2.610494,-0.006936,-0.004038,-24.569298,-5.100767,21.460327,-1.275480,-8.708816,-7.227882,0.003161,0.145453,0.102553,-0.931560,-24.830130,-0.792036,19.108440,0.262649,2.410533,-12.000000,-0.197912,-0.106344,-0.931560,-24.830130,-0.792036,19.108440,0.262649,2.410533,-215.762650,-0.197912,-0.106344,87.000000,87.000000,87.000000,87.000000,12.000000,12.000000,12.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
