Wall time,Step,Value
1750964707.0577967,150,-0.001420179265551269
1750964723.3603415,300,-0.001420369721017778
1750964739.583859,450,-0.0014065132709220052
1750964756.3086026,600,-0.0013969604624435306
1750964773.5986514,750,-0.0013726962497457862
1750964791.4038043,900,-0.0013441238552331924
1750964809.5708015,1050,-0.001320020412094891
1750964828.3518684,1200,-0.0012907221680507064
1750964846.9198532,1350,-0.0012617583852261305
1750964865.673453,1500,-0.0012281914241611958
1750964884.4584558,1650,-0.001193569041788578
1750964903.2228892,1800,-0.00115669216029346
1750964922.0285845,1950,-0.0011265795910730958
1750964940.7562242,2100,-0.0010986876441165805
1750964959.4956446,2250,-0.0010782359167933464
1750964978.3145344,2400,-0.0010576376225799322
1750964997.2056074,2550,-0.0010368387447670102
1750965015.8061833,2700,-0.0010132011957466602
1750965034.5928862,2850,-0.0009943577460944653
1750965053.355511,3000,-0.0009709193836897612
1750965072.0038242,3150,-0.0009473501704633236
1750965090.7100115,3300,-0.0009276245255023241
1750965109.3569436,3450,-0.0009088708902709186
1750965128.1967833,3600,-0.000889232789631933
1750965146.8679998,3750,-0.0008645012276247144
1750965165.5378275,3900,-0.000849077245220542
1750965184.4539855,4050,-0.0008286838419735432
1750965203.1307588,4200,-0.0008079105173237622
1750965221.9642687,4350,-0.0007890895358286798
1750965240.5353239,4500,-0.0007716906256973743
1750965259.0787559,4650,-0.0007574758492410183
1750965278.0131457,4800,-0.0007364331977441907
1750965296.6593316,4950,-0.0007183508714661002
1750965315.1085489,5100,-0.0006984150968492031
1750965333.8380482,5250,-0.0006828944315202534
1750965352.421681,5400,-0.0006614663288928568
1750965370.8496137,5550,-0.0006340009276755154
1750965389.3838348,5700,-0.0006134701543487608
1750965407.692032,5850,-0.0005945335724391043
1750965426.2845466,6000,-0.0005739998305216432
1750965444.675526,6150,-0.0005572761874645948
1750965463.262465,6300,-0.0005372501909732819
1750965481.615932,6450,-0.0005187304341234267
1750965500.2288294,6600,-0.0004996995558030903
1750965518.7327943,6750,-0.00048442036495544016
1750965537.1551468,6900,-0.0004681891587097198
1750965555.6062613,7050,-0.0004512091400101781
1750965573.8782682,7200,-0.00043447973439469934
1750965592.16683,7350,-0.0004178399976808578
1750965610.3769999,7500,-0.000404899416025728
1750965628.5488167,7650,-0.0003887900384142995
1750965647.091589,7800,-0.0003729858435690403
1750965665.2691662,7950,-0.00036290017305873334
1750965683.421401,8100,-0.000348279980244115
1750965701.5639231,8250,-0.0003351112827658653
1750965720.0843482,8400,-0.0003207096888218075
1750965738.1688561,8550,-0.0003055605629924685
1750965756.4780254,8700,-0.00029054973856545985
1750965774.6714911,8850,-0.00027739221695810556
1750965792.8269854,9000,-0.0002604788460303098
1750965811.2175252,9150,-0.00024665368255227804
1750965829.17446,9300,-0.00023914509802125394
1750965847.5803003,9450,-0.00022980540234129876
1750965865.5297618,9600,-0.00021551676036324352
1750965884.092916,9750,-0.00020390030113048851
1750965901.9684336,9900,-0.00019250588957220316
1750965920.087811,10050,-0.0001807873195502907
1750965938.1922705,10200,-0.00016199973470065743
1750965956.263261,10350,-0.0001426866656402126
1750965974.4426913,10500,-0.00012903226888738573
1750965992.5268886,10650,-0.00011438713409006596
1750966010.6933103,10800,-0.0001022537107928656
1750966029.0381262,10950,-9.219382627634332e-05
1750966047.210824,11100,-8.056536171352491e-05
1750966065.4149506,11250,-6.572106940438971e-05
1750966083.8121774,11400,-4.7923444071784616e-05
1750966102.019985,11550,-3.503534753690474e-05
1750966120.3303401,11700,-2.3345430236076936e-05
1750966138.6037025,11850,-1.0892930731642991e-05
1750966157.1500106,12000,3.6753312997461762e-06
1750966175.4825075,12150,1.7734020730131306e-05
1750966193.5966065,12300,2.881530235754326e-05
1750966211.8023522,12450,3.732815821422264e-05
1750966230.1001604,12600,4.6048757212702185e-05
1750966248.4897494,12750,5.6853976275306195e-05
1750966266.473932,12900,6.57233249512501e-05
1750966284.9636114,13050,7.51753686927259e-05
1750966303.2998328,13200,8.782181248534471e-05
1750966321.5966165,13350,0.00010257193207507953
1750966339.6826112,13500,0.00011381865624571219
1750966357.7901328,13650,0.00012507983774412423
1750966376.132599,13800,0.00013388614752329886
1750966394.3110473,13950,0.00014644094335380942
1750966412.3530493,14100,0.00015811719640623778
1750966430.5891593,14250,0.00016879131726454943
1750966448.6842265,14400,0.00017822602239903063
1750966466.9282742,14550,0.00019032717682421207
1750966485.0589194,14700,0.0001995376223931089
1750966503.2216012,14850,0.0002097355609294027
1750966521.6359978,15000,0.00022176469792611897
