Wall time,Step,Value
1755678950.0087564,150,-0.001413134392350912
1755678954.1863515,300,-0.001389610581099987
1755678958.4451272,450,-0.0013764729956164956
1755678962.8605015,600,-0.0013553109019994736
1755678968.8515449,750,-0.0013320730067789555
1755678974.7840464,900,-0.001307017169892788
1755678981.1344907,1050,-0.0012810922926291823
1755678988.2768743,1200,-0.001250320696271956
1755678995.2320793,1350,-0.0012185758678242564
1755679002.4719417,1500,-0.00118410331197083
1755679009.5490577,1650,-0.0011479939566925168
1755679016.763909,1800,-0.0011074865469709039
1755679023.915498,1950,-0.0010644709691405296
1755679030.9875934,2100,-0.001029136124998331
1755679037.854491,2250,-0.0010007522068917751
1755679044.6947765,2400,-0.0009652850567363203
1755679051.4625218,2550,-0.0009291478781960905
1755679058.0280669,2700,-0.0008941044216044247
1755679064.5357072,2850,-0.0008628497016616166
1755679071.0691504,3000,-0.0008312271675094962
1755679077.513927,3150,-0.0007959167705848813
1755679083.9119067,3300,-0.0007669574697501957
1755679090.3327177,3450,-0.000744580989703536
1755679096.8006256,3600,-0.0007208218448795378
1755679103.1586728,3750,-0.0007000301848165691
1755679109.5424054,3900,-0.0006776980590075254
1755679115.9578974,4050,-0.0006540375179611146
1755679122.3957756,4200,-0.0006227950798347592
1755679128.714112,4350,-0.0006009613280184567
1755679135.0210493,4500,-0.0005819285870529711
1755679141.3154798,4650,-0.0005561389843933284
1755679147.7010746,4800,-0.0005269074463285506
1755679153.9657826,4950,-0.0005023277481086552
1755679160.2353,5100,-0.000482804054627195
1755679166.6016705,5250,-0.0004589487798511982
1755679173.006105,5400,-0.0004332908138167113
1755679179.2614644,5550,-0.0004100211663171649
1755679185.4401352,5700,-0.00038443776429630816
1755679191.6386206,5850,-0.00036497568362392485
1755679197.9739377,6000,-0.0003425252507440746
1755679204.199623,6150,-0.00031987071270123124
1755679210.4149063,6300,-0.00029926985735073686
1755679216.6180296,6450,-0.0002812851162161678
1755679222.8547294,6600,-0.0002631250536069274
1755679229.0682344,6750,-0.00024353436310775578
1755679235.2955463,6900,-0.00022730596538167447
1755679241.5092885,7050,-0.00020882215176243335
1755679247.7226312,7200,-0.00019153628090862185
1755679253.79384,7350,-0.000180329370778054
1755679259.941837,7500,-0.00016420760948676616
1755679265.995729,7650,-0.00014607237244490534
1755679272.1240256,7800,-0.0001290004438487813
1755679278.3552666,7950,-0.00011621916928561404
1755679284.5188081,8100,-0.00010463765647727996
1755679290.5637076,8250,-9.377187234349549e-05
1755679296.670786,8400,-7.770850788801908e-05
1755679302.7666712,8550,-5.9568170399870723e-05
1755679309.03479,8700,-4.4292617531027645e-05
1755679315.2114456,8850,-3.0350998713402078e-05
1755679321.502407,9000,-1.5471970982616767e-05
1755679327.6648204,9150,-4.712289864983177e-06
1755679333.8054144,9300,8.118387995637022e-06
1755679339.9174266,9450,1.9023276763618924e-05
1755679345.964906,9600,3.2558666134718806e-05
1755679351.9186378,9750,4.639813050744124e-05
1755679357.7724082,9900,6.163175567053258e-05
1755679363.5952735,10050,7.295577961485833e-05
1755679369.4566352,10200,8.841232192935422e-05
1755679375.315772,10350,0.00010362145985709503
1755679381.25882,10500,0.00011660832387860864
1755679387.0995486,10650,0.00013162707909941673
1755679393.029909,10800,0.00014707344234921038
1755679398.8696342,10950,0.0001612079213373363
1755679404.735698,11100,0.00017560874402988702
1755679410.5950644,11250,0.00019374430121388286
1755679416.5780964,11400,0.00020805651729460806
1755679422.452632,11550,0.00022135589097160846
1755679428.3326752,11700,0.0002354845346417278
1755679434.127693,11850,0.0002485477307345718
1755679440.0171351,12000,0.00026274839183315635
1755679445.8147292,12150,0.00027479196432977915
1755679451.6664512,12300,0.00028224659035913646
1755679457.6291902,12450,0.0002901422849390656
1755679463.7271607,12600,0.00030134376720525324
1755679469.7262974,12750,0.000315172626869753
1755679475.6836016,12900,0.0003233443130739033
1755679481.5954227,13050,0.0003303441044408828
1755679487.6891732,13200,0.00034226448042318225
1755679493.55081,13350,0.0003511711547616869
1755679499.4383578,13500,0.00036029581679031253
1755679505.2516959,13650,0.00036946122418157756
1755679511.151823,13800,0.0003787795430980623
1755679516.9263804,13950,0.00038875662721693516
1755679522.7738466,14100,0.00039905685116536915
1755679528.6545262,14250,0.0004073197487741709
1755679534.5953672,14400,0.00041715570841915905
1755679540.4326863,14550,0.0004276531399227679
1755679546.2374976,14700,0.00043640777585096657
1755679551.9844036,14850,0.00044309700024314225
