Wall time,Step,Value
1755613516.983952,150,-0.0014201316516846418
1755613533.1445527,300,-0.0014226218918338418
1755613549.87002,450,-0.0014138176338747144
1755613567.416613,600,-0.0013801173772662878
1755613585.417503,750,-0.0013473201543092728
1755613603.4905822,900,-0.0013180249370634556
1755613621.6468785,1050,-0.0012782429112121463
1755613640.1819859,1200,-0.001250469358637929
1755613658.5295718,1350,-0.0012140177423134446
1755613676.854817,1500,-0.0011849344009533525
1755613695.268575,1650,-0.0011608602944761515
1755613713.690438,1800,-0.0011301478371024132
1755613732.084778,1950,-0.0010968964779749513
1755613750.4184172,2100,-0.0010628170566633344
1755613768.70318,2250,-0.001034832326695323
1755613787.1676679,2400,-0.0010060659842565656
1755613805.343915,2550,-0.0009824037551879883
1755613823.474652,2700,-0.000958648044615984
1755613841.5508785,2850,-0.0009349455358460546
1755613859.6280105,3000,-0.000908670830540359
1755613877.7006779,3150,-0.0008818092755973339
1755613895.6738896,3300,-0.0008569395868107677
1755613913.6984313,3450,-0.0008410129230469465
1755613931.748104,3600,-0.0008211612585000694
1755613949.7480159,3750,-0.0007970609003677964
1755613967.727096,3900,-0.0007775450358167291
1755613985.6570325,4050,-0.0007572976173833013
1755614003.6520786,4200,-0.0007349505322054029
1755614021.5465376,4350,-0.0007087677367962897
1755614039.4627411,4500,-0.0006888289353810251
1755614057.3075757,4650,-0.0006725125713273883
1755614075.3043776,4800,-0.0006572419661097229
1755614093.1362443,4950,-0.0006367619498632848
1755614110.9389234,5100,-0.0006138774333521724
1755614128.750162,5250,-0.0005943862488493323
1755614146.7753985,5400,-0.0005740589695051312
1755614164.7384567,5550,-0.0005503796273842454
1755614182.7558212,5700,-0.0005304060759954154
1755614200.7205184,5850,-0.000503887131344527
1755614218.8772898,6000,-0.00048737102770246565
1755614236.988639,6150,-0.000476963963592425
1755614255.0936642,6300,-0.0004672332142945379
1755614273.2497203,6450,-0.0004488067061174661
1755614291.4927025,6600,-0.0004362273321021348
1755614309.530007,6750,-0.00041947507997974753
1755614327.5348063,6900,-0.0004067825502716005
1755614345.432675,7050,-0.00039041004492901266
1755614363.378099,7200,-0.0003697322681546211
1755614381.3027344,7350,-0.00034677889198064804
1755614399.2525542,7500,-0.0003312937042210251
1755614417.1320853,7650,-0.0003150844422634691
1755614435.0821102,7800,-0.0002974964736495167
1755614452.9496696,7950,-0.00028072510031051934
1755614470.7977006,8100,-0.00026557667297311127
1755614489.6744857,8250,-0.00024789856979623437
1755614509.3601623,8400,-0.00023418571799993515
1755614529.0386205,8550,-0.00021900692081544548
1755614548.733633,8700,-0.00020949539612047374
1755614568.3882375,8850,-0.00020141682762186974
1755614588.034543,9000,-0.0001962151873158291
1755614607.5164745,9150,-0.00018303234537597746
1755614627.0538592,9300,-0.000172872852999717
1755614646.5217059,9450,-0.00016288860933855176
1755614666.1472995,9600,-0.00015381800767499954
1755614685.6245692,9750,-0.00014139545965008438
1755614705.1010137,9900,-0.00013011309783905745
1755614724.6718388,10050,-0.00011791446013376117
1755614744.3023803,10200,-0.00010396734433015808
1755614763.8854058,10350,-8.722086931811646e-05
1755614783.4312093,10500,-7.16508729965426e-05
1755614803.0022259,10650,-6.00515995756723e-05
1755614822.7523735,10800,-5.018690717406571e-05
1755614842.3697605,10950,-3.886501508532092e-05
1755614861.9392047,11100,-2.6590772904455662e-05
1755614881.4934294,11250,-1.5266728951246478e-05
1755614901.0580182,11400,-3.7743220673291944e-06
1755614920.6124103,11550,6.522358944494044e-06
1755614940.1732302,11700,1.3427520570985507e-05
1755614959.787259,11850,2.5881334295263514e-05
1755614979.4266696,12000,4.1263236198574305e-05
1755614999.0412097,12150,5.08934426761698e-05
1755615018.7426927,12300,5.776385296485387e-05
1755615038.407624,12450,6.477522401837632e-05
1755615058.171489,12600,7.828163506928831e-05
1755615077.7655141,12750,9.260695514967665e-05
1755615097.3192213,12900,0.00010555455810390413
1755615116.9182858,13050,0.00011902063124580309
1755615136.5239086,13200,0.00013769413635600358
1755615156.0946128,13350,0.0001540935627417639
1755615175.6167324,13500,0.00016886694356799126
1755615195.2038405,13650,0.00017985703016165644
1755615214.8598394,13800,0.00019593795877881348
1755615234.446889,13950,0.00021182546333875507
1755615253.9923968,14100,0.00022649911988992244
1755615273.5593207,14250,0.00024141896574292332
1755615293.2986755,14400,0.000256143364822492
1755615312.8163817,14550,0.00027046006289310753
1755615332.473982,14700,0.000281383196124807
1755615352.0790124,14850,0.0002922011190094054
1755615371.7701056,15000,0.0003041983291041106
