Wall time,Step,Value
1754609807.2773368,150,-0.001413134392350912
1754609823.3150058,300,-0.0013900201302021742
1754609839.1194122,450,-0.0013798378640785813
1754609855.577711,600,-0.001364622381515801
1754609872.8645024,750,-0.001344872871413827
1754609890.3655717,900,-0.0013103472301736474
1754609908.3972683,1050,-0.0012775793438777328
1754609926.9725673,1200,-0.0012367991730570793
1754609945.3502707,1350,-0.001194296171888709
1754609963.8392563,1500,-0.001163472537882626
1754609982.456216,1650,-0.0011419766815379262
1754610001.1241288,1800,-0.0011068666353821754
1754610020.0517309,1950,-0.0010740587022155523
1754610038.7788749,2100,-0.0010391082614660263
1754610057.5376413,2250,-0.0010068501578643918
1754610076.2751317,2400,-0.0009804191067814827
1754610094.8326,2550,-0.000955836963839829
1754610113.4599962,2700,-0.0009306486463174224
1754610131.9859655,2850,-0.0009063556208275259
1754610150.4264603,3000,-0.0008804202079772949
1754610168.853128,3150,-0.0008583386661484838
1754610187.206294,3300,-0.0008354878518730402
1754610205.563014,3450,-0.0008165757753886282
1754610223.955498,3600,-0.0008031584438867867
1754610242.2045023,3750,-0.0007846688968129456
1754610260.5562305,3900,-0.0007675349479541183
1754610278.80141,4050,-0.0007493627490475774
1754610297.1081262,4200,-0.0007348125800490379
1754610315.3740401,4350,-0.0007251633796840906
1754610333.6335354,4500,-0.000712838489562273
1754610351.946971,4650,-0.0007025761296972632
1754610370.205865,4800,-0.0006850096979178488
1754610388.3992596,4950,-0.0006652367301285267
1754610406.6853814,5100,-0.0006451705703511834
1754610424.9537418,5250,-0.0006247246055863798
1754610443.3380451,5400,-0.0006117862649261951
1754610461.6162457,5550,-0.0005921468837186694
1754610479.9093015,5700,-0.0005733883008360863
1754610498.2083704,5850,-0.0005560232675634325
1754610516.5513124,6000,-0.0005345785757526755
1754610534.950488,6150,-0.0005143805174157023
1754610553.2671084,6300,-0.0004900028579868376
1754610571.5264463,6450,-0.00047215475933626294
1754610589.8716695,6600,-0.00045654457062482834
1754610608.105947,6750,-0.0004384794447105378
1754610626.278234,6900,-0.0004243242437951267
1754610644.4872272,7050,-0.00040457615978084505
1754610662.7302806,7200,-0.0003856258117593825
1754610680.938618,7350,-0.00036333786556497216
1754610699.0949173,7500,-0.0003457492566667497
1754610717.2235055,7650,-0.0003359084657859057
1754610735.406983,7800,-0.0003192579897586256
1754610753.4726686,7950,-0.00030740106012672186
1754610771.4943671,8100,-0.00029122570413164794
1754610789.548157,8250,-0.00027568251243792474
1754610807.752724,8400,-0.00026069729938171804
1754610825.8468995,8550,-0.0002460629621054977
1754610843.857874,8700,-0.00023181938740890473
1754610861.8592353,8850,-0.00022045872174203396
1754610879.912962,9000,-0.00020735607540700585
1754610897.9714127,9150,-0.0001939037028932944
1754610916.0480156,9300,-0.00018144521163776517
1754610934.1082547,9450,-0.00016730943752918392
1754610952.2351081,9600,-0.0001551247260067612
1754610970.2205567,9750,-0.00014420021034311503
1754610988.2514305,9900,-0.00012822677672374994
1754611006.317599,10050,-0.00011082841228926554
1754611024.4980772,10200,-9.586584201315418e-05
1754611042.4961407,10350,-7.855579315219074e-05
1754611060.5473268,10500,-5.988519478705712e-05
1754611078.4997373,10650,-4.393525523482822e-05
1754611096.5291114,10800,-2.9026545234955847e-05
1754611114.5646634,10950,-1.724920184642542e-05
1754611132.533175,11100,-4.196450845483923e-06
1754611150.5665555,11250,1.102237274608342e-05
1754611168.712331,11400,2.438582305330783e-05
1754611186.644262,11550,4.1281109588453546e-05
1754611204.569603,11700,5.624552795779891e-05
1754611222.3708851,11850,7.326111517613754e-05
1754611240.2761102,12000,8.93315373104997e-05
1754611258.0392923,12150,0.00010212233610218391
1754611275.7836776,12300,0.00011971261847065762
1754611293.4669683,12450,0.00013167537690605968
1754611311.4939632,12600,0.00014229916268959641
1754611329.349756,12750,0.00015271232405211776
1754611347.2600904,12900,0.00016446993686258793
1754611365.2583559,13050,0.00017667243082541972
1754611383.2952917,13200,0.00018701671797316521
1754611401.1405637,13350,0.00020098894310649484
1754611419.042291,13500,0.00021448024199344218
1754611436.8826575,13650,0.00023056386271491647
1754611454.7534122,13800,0.0002475268847774714
1754611472.6133454,13950,0.00026150161284022033
1754611490.3970165,14100,0.00027160835452377796
1754611508.2045805,14250,0.0002819085493683815
1754611526.1606622,14400,0.00029146316228434443
1754611543.9748886,14550,0.00030028168112039566
1754611561.844714,14700,0.00031152067822404206
1754611579.543644,14850,0.0003258617944084108
1754611597.3622563,15000,0.00034043387859128416
